REMOVE19a,REMOVE19b,PLAYER_ID,PLAYER,SG_DRIVE_AVG,REMOVE19c,REMOVE19d
80,0,55708,Hayden Buckley,0.109,5.104,47
81,0,48867,Matti Schmid,0.100,3.903,39
82,0,12716,Charley Hoffman,0.098,3.833,39
83,0,40098,Matt Fitzpatrick,0.090,4.865,54
84,0,39327,Ben Silverman,0.081,4.310,53
85,0,47483,Will Zalatoris,0.076,3.410,45
86,0,34563,Chesson Hadley,0.073,3.133,43
87,0,40115,Adam Svensson,0.068,4.976,73
88,0,27129,Luke List,0.067,3.154,47
89,0,59836,Pierceson Coody,0.060,2.445,41
90,0,27644,Brian Harman,0.048,3.081,64
91,0,29221,Webb Simpson,0.047,1.866,40
92,0,29936,Ryan Fox,0.040,2.065,51
93,0,32791,K.H. Lee,0.038,1.550,41
94,0,40250,Taylor Pendrith,0.016,0.836,51
95,0,51287,Ryo Hisatsune,0.015,0.758,51
96,0,31646,Emiliano Grillo,0.014,0.866,61
97,0,28420,Ryan Brehm,0.011,0.357,33
98,0,47420,Jake Knapp,0.010,0.611,59
99,0,35532,Tom Hoge,0.007,0.456,67
100,0,36801,Mark Hubbard,0.005,0.346,63
100,0,48153,Matthieu Pavon,0.005,0.204,41
102,0,26596,Ryan Moore,0.000,0.004,49
103,0,27139,David Skinns,-0.006,-0.263,43
104,0,33399,Adam Hadwin,-0.007,-0.341,52
105,0,34098,Russell Henley,-0.019,-0.991,52
106,0,25900,Lucas Glover,-0.024,-1.418,60
107,0,49771,J.T. Poston,-0.033,-1.942,58
108,0,32757,Patton Kizzire,-0.036,-1.139,32
109,0,32367,Jorge Campillo,-0.041,-1.544,38
110,0,35461,Beau Hossler,-0.044,-2.430,55
111,0,36871,Matt NeSmith,-0.051,-2.301,45
112,0,29908,C.T. Pan,-0.058,-2.491,43
113,0,31323,Gary Woodland,-0.063,-3.100,49
114,0,33413,Ben Martin,-0.065,-2.137,33
115,0,36884,Ben Kohles,-0.076,-3.653,48
116,0,28252,Seamus Power,-0.080,-5.049,63
117,0,51349,Nico Echavarria,-0.086,-4.233,49
118,0,30163,Henrik Norlander,-0.095,-2.470,26
119,-1,45522,Christiaan Bezuidenhout,-0.104,-5.830,56
120,-1,60067,Joe Highsmith,-0.112,-3.690,33
121,-1,54591,Ben Griffin,-0.125,-7.993,64
122,-1,27214,Kevin Streelman,-0.129,-4.901,38
123,-1,22405,Justin Rose,-0.130,-6.089,47
124,-1,24024,Zach Johnson,-0.136,-4.350,32
125,-1,45157,Cam Davis,-0.140,-7.832,56
125,-1,47983,Chad Ramey,-0.140,-6.038,43
127,-1,59442,Parker Coody,-0.150,-6.458,43
128,-1,32070,Rafael Campos,-0.159,-4.599,29
129,-1,28775,Nate Lashley,-0.163,-6.019,37
130,-1,32640,Troy Merritt,-0.166,-7.456,45
131,-1,48699,Callum Tarren,-0.173,-7.101,41
132,-1,51890,Greyson Sigg,-0.177,-8.304,47
132,-1,50493,Justin Suh,-0.177,-6.920,39
134,0,24980,Scott Gutschewski,-0.183,-4.573,25
135,-2,50188,S.H. Kim,-0.185,-12.034,65
136,-2,54421,Garrick Higgo,-0.198,-8.709,44
137,-2,40162,Justin Lower,-0.207,-12.005,58
138,-2,25493,Nick Taylor,-0.211,-11.841,56
139,-2,54628,Lee Hodges,-0.215,-13.531,63
140,-2,57975,Harry Hall,-0.218,-11.558,53
141,-2,35506,Mackenzie Hughes,-0.221,-13.489,61
142,-2,57900,Chandler Phillips,-0.234,-11.697,50
143,-2,39977,Max Homa,-0.236,-13.005,55
144,-2,39324,J.J. Spaun,-0.251,-11.811,47
145,-2,59866,Nick Dunlap,-0.257,-12.351,48
146,-2,40058,Zac Blair,-0.277,-13.564,49
147,-2,54783,Dylan Wu,-0.298,-15.787,53
148,-2,32102,Rickie Fowler,-0.301,-16.877,56
149,-2,47591,Eric Cole,-0.302,-20.818,69
149,-2,48887,Matt Wallace,-0.302,-14.200,47
151,-2,36326,David Lipsky,-0.313,-13.127,42
152,-2,39975,Michael Kim,-0.316,-14.213,45
153,-2,47993,Denny McCarthy,-0.331,-21.203,64
154,-1,33968,Thorbjørn Olesen,-0.354,-13.440,38
155,-1,37275,Sam Ryder,-0.358,-16.098,45
156,-1,52374,Brandon Wu,-0.362,-15.911,44
157,-1,23108,Matt Kuchar,-0.370,-16.294,44
158,-1,27936,Martin Laird,-0.396,-15.447,39
159,-1,47995,Davis Riley,-0.426,-21.740,51
160,-1,50497,Adrien Dumont de Chassart,-0.431,-17.667,41
161,-1,60004,Jacob Bridgeman,-0.436,-16.149,37
162,-1,33486,Roger Sloan,-0.475,-15.670,33
163,-1,30927,Brendon Todd,-0.490,-34.300,70
164,-1,26476,Chez Reavie,-0.512,-19.958,39
165,-1,34466,Peter Malnati,-0.559,-29.621,53
166,-1,27649,Brandt Snedeker,-0.560,-21.836,39
167,-1,33408,Tyson Alexander,-0.563,-24.788,44
167,-1,46441,Robby Shelton,-0.563,-28.716,51
169,-1,34310,Alexander Björk,-0.565,-19.760,35
170,-1,34256,Andrew Putnam,-0.568,-31.808,56
171,-1,51894,Vince Whaley,-0.569,-18.785,33
172,-1,46113,Ryan McCormick,-0.617,-20.355,33
173,-1,48119,Ben Taylor,-0.685,-25.349,37
174,-1,22371,Aaron Baddeley,-0.781,-33.563,43
175,-1,29478,Kevin Kisner,-0.856,-29.090,34
176,-1,55789,Taylor Montgomery,-0.907,-33.576,37
177,-1,27770,Camilo Villegas,-1.063,-32.963,31
178,-1,34374,Erik Barnes,-1.099,-37.370,34
