REMOVE20a,REMOVE20b,PLAYER_ID,PLAYER,SG_PUTTING_AVG,REMOVE20c,REMOVE20d
160,0,29221,Webb Simpson,-0.448,-17.915,40
161,0,26476,Chez Reavie,-0.455,-17.758,39
162,0,24980,Scott Gutschewski,-0.456,-11.405,25
162,0,51600,Jimmy Stanger,-0.456,-11.866,26
164,-1,48699,Callum Tarren,-0.473,-19.392,41
165,-1,46340,Alex Smalley,-0.509,-19.357,38
166,-1,45242,Kevin Yu,-0.511,-23.998,47
167,-1,26596,Ryan Moore,-0.533,-26.093,49
168,-1,34076,Joel Dahmen,-0.548,-26.846,49
169,-1,48319,Tom Whitney,-0.554,-18.274,33
170,-1,40115,Adam Svensson,-0.608,-44.367,73
171,-1,27770,Camilo Villegas,-0.616,-19.082,31
172,-1,51890,Greyson Sigg,-0.621,-29.182,47
173,-1,60067,Joe Highsmith,-0.626,-20.669,33
174,-1,27064,Jhonattan Vegas,-0.636,-20.997,33
175,-1,36326,David Lipsky,-0.712,-29.918,42
176,-1,40026,Daniel Berger,-0.722,-26.705,37
177,-1,55454,Carl Yuan,-0.774,-31.738,41
178,-1,51070,Vincent Norrman,-0.960,-40.326,42
