REMOVE2a,REMOVE2b,PLAYER_ID,PLAYER,Fairway%,REMOVE2c,REMOVE2d
127,-3,48867,Matti Schmid,57.58%,380,660
128,-2,39324,J.J. Spaun,57.52%,390,678
129,-2,51977,Max Greyserman,57.48%,419,729
129,-2,55893,Sam Stevens,57.48%,507,882
131,0,60004,Jacob Bridgeman,57.39%,365,636
132,0,40250,Taylor Pendrith,57.35%,445,776
133,0,51997,Andrew Novak,57.29%,440,768
134,0,47420,Jake Knapp,57.19%,509,890
135,-10,52215,Robert MacIntyre,57.14%,472,826
136,-1,47663,Kevin Dougherty,57.12%,313,548
137,-1,36699,Patrick Rodgers,57.08%,492,862
138,-1,34563,Chesson Hadley,57.07%,347,608
139,0,22371,Aaron Baddeley,56.97%,376,660
140,0,47988,Nick Hardy,56.66%,451,796
141,0,59866,Nick Dunlap,56.62%,402,710
142,1,54591,Ben Griffin,56.27%,592,1052
143,-5,35506,Mackenzie Hughes,56.14%,521,928
144,0,33448,Justin Thomas,56.09%,396,706
145,-3,39977,Max Homa,55.93%,509,910
145,0,27129,Luke List,55.93%,415,742
147,-1,59836,Pierceson Coody,55.76%,387,694
148,-1,37212,Paul Barjon,55.53%,261,470
149,-1,52372,Cameron Champ,55.39%,257,464
150,-1,12716,Charley Hoffman,55.26%,336,608
151,-1,35461,Beau Hossler,55.18%,437,792
152,3,33968,Thorbjørn Olesen,54.91%,347,632
153,-2,57975,Harry Hall,54.88%,439,800
154,-2,54421,Garrick Higgo,54.82%,387,706
155,-2,50497,Adrien Dumont de Chassart,54.77%,379,692
156,0,27139,David Skinns,54.68%,362,662
157,-3,33948,Byeong Hun An,54.64%,483,884
158,-1,50188,S.H. Kim,54.55%,552,1012
159,-1,33408,Tyson Alexander,54.42%,369,678
160,2,52453,Nicolai Højgaard,54.20%,413,762
161,-2,28420,Ryan Brehm,54.18%,298,550
162,-2,39975,Michael Kim,54.16%,404,746
163,0,27770,Camilo Villegas,53.55%,279,521
164,-3,51766,Wyndham Clark,53.39%,394,738
165,-1,34374,Erik Barnes,53.26%,286,537
166,-1,59442,Parker Coody,53.19%,367,690
167,-1,48699,Callum Tarren,53.00%,336,634
168,0,34255,Joseph Bramlett,52.37%,375,716
169,-2,48887,Matt Wallace,52.08%,375,720
170,0,31323,Gary Woodland,52.07%,403,774
171,-2,34466,Peter Malnati,52.03%,411,790
172,-1,51894,Vince Whaley,51.38%,298,580
173,-1,38991,Alejandro Tosti,50.77%,329,648
174,-1,46113,Ryan McCormick,50.36%,278,552
175,-1,29936,Ryan Fox,49.64%,411,828
176,-1,48119,Ben Taylor,49.24%,259,526
177,-1,59095,Chris Gotterup,49.22%,346,703
178,-1,55789,Taylor Montgomery,47.03%,253,538
