REMOVE1a,REMOVE1b,PLAYER_ID,PLAYER,3Putts_AVG,REMOVE1c,REMOVE1d
153,-1,33653,Thomas Detry,.35,20,57
153,-1,31646,Emiliano Grillo,.35,24,69
153,-15,52215,Robert MacIntyre,.35,21,60
153,-1,47993,Denny McCarthy,.35,25,71
153,-1,39327,Ben Silverman,.35,21,60
158,0,59836,Pierceson Coody,.34,17,50
158,1,28089,Jason Day,.34,21,61
158,-15,34046,Jordan Spieth,.34,22,64
161,-2,22371,Aaron Baddeley,.33,16,48
161,2,47504,Sam Burns,.33,19,57
161,-2,57362,Austin Eckroat,.33,21,64
164,-5,46442,Maverick McNealy,.32,19,59
164,-1,48119,Ben Taylor,.32,12,38
166,-1,54421,Garrick Higgo,.31,16,51
167,-1,51997,Andrew Novak,.30,17,56
168,-1,23108,Matt Kuchar,.29,13,45
168,1,37378,Min Woo Lee,.29,15,52
170,1,27644,Brian Harman,.28,20,71
170,-3,35506,Mackenzie Hughes,.28,19,67
170,-1,55789,Taylor Montgomery,.28,11,39
173,-1,50525,Collin Morikawa,.25,16,63
174,-1,34310,Alexander Björk,.24,9,38
175,-2,45522,Christiaan Bezuidenhout,.23,14,60
176,0,47679,Victor Perez,.22,13,60
177,-2,34098,Russell Henley,.21,13,61
178,-2,48081,Xander Schauffele,.17,11,63
