REMOVE8a,REMOVE8b,PLAYER_ID,PLAYER,Par3_AVG,REMOVE8c,REMOVE8d
99,0,33408,Tyson Alexander,3.06,661,216
99,-26,34310,Alexander Björk,3.06,544,178
99,0,34076,Joel Dahmen,3.06,764,250
99,-26,57362,Austin Eckroat,3.06,851,278
99,0,52375,Doug Ghim,3.06,723,236
99,0,47988,Nick Hardy,3.06,703,230
99,0,12716,Charley Hoffman,3.06,600,196
99,0,50188,S.H. Kim,3.06,961,314
99,0,27936,Martin Laird,3.06,587,192
99,0,32791,K.H. Lee,3.06,646,211
99,-11,51070,Vincent Norrman,3.06,560,183
99,0,28252,Seamus Power,3.06,807,264
99,0,22405,Justin Rose,3.06,668,218
112,1,40026,Daniel Berger,3.07,608,198
112,11,47504,Sam Burns,3.07,743,242
112,-13,35450,Patrick Cantlay,3.07,687,224
112,1,47591,Eric Cole,3.07,1031,336
112,-13,29725,Tony Finau,3.07,841,274
112,1,35310,Lanto Griffin,3.07,613,200
112,1,46113,Ryan McCormick,3.07,552,180
112,1,49947,Taylor Moore,3.07,865,282
112,1,47983,Chad Ramey,3.07,658,214
112,1,50484,Hayden Springer,3.07,608,198
112,1,50493,Justin Suh,3.07,601,196
112,1,31323,Gary Woodland,3.07,718,234
112,1,54783,Dylan Wu,3.07,736,240
125,-2,45609,Tyler Duncan,3.08,603,196
125,-2,51696,Rico Hoey,3.08,652,212
125,-2,35461,Beau Hossler,3.08,770,250
125,-2,26596,Ryan Moore,3.08,691,224
125,-2,46340,Alex Smalley,3.08,610,198
130,3,34255,Joseph Bramlett,3.09,717,232
130,3,32070,Rafael Campos,3.09,494,160
130,16,28089,Jason Day,3.09,798,258
130,-7,25900,Lucas Glover,3.09,834,270
130,3,36801,Mark Hubbard,3.09,934,302
130,-7,35506,Mackenzie Hughes,3.09,858,278
130,3,30926,Chris Kirk,3.09,767,248
130,3,32757,Patton Kizzire,3.09,519,168
130,3,36326,David Lipsky,3.09,612,198
130,3,34256,Andrew Putnam,3.09,754,244
130,3,26476,Chez Reavie,3.09,618,200
130,3,37275,Sam Ryder,3.09,704,228
130,-7,47347,Adam Schenk,3.09,878,284
130,-7,34046,Jordan Spieth,3.09,792,256
130,3,40115,Adam Svensson,3.09,940,304
130,3,51894,Vince Whaley,3.09,593,192
130,3,48319,Tom Whitney,3.09,581,188
130,3,52374,Brandon Wu,3.09,711,230
148,-2,33141,Keegan Bradley,3.10,726,234
148,-2,52372,Cameron Champ,3.10,496,160
148,-2,39324,J.J. Spaun,3.10,633,204
148,-2,51600,Jimmy Stanger,3.10,503,162
148,-2,48699,Callum Tarren,3.10,639,206
148,-2,57366,Cameron Young,3.10,856,276
148,-2,55454,Carl Yuan,3.10,613,198
155,0,34374,Erik Barnes,3.11,563,181
155,0,50497,Adrien Dumont de Chassart,3.11,684,220
155,0,59866,Nick Dunlap,3.11,696,224
155,-9,36799,Stephan Jaeger,3.11,809,260
155,0,23108,Matt Kuchar,3.11,610,196
155,0,40250,Taylor Pendrith,3.11,758,244
155,0,27770,Camilo Villegas,3.11,500,161
162,1,55708,Hayden Buckley,3.12,693,222
162,1,54421,Garrick Higgo,3.12,698,224
162,1,29478,Kevin Kisner,3.12,499,160
162,-7,25493,Nick Taylor,3.12,811,260
166,0,28420,Ryan Brehm,3.13,569,182
166,-11,46717,Viktor Hovland,3.13,563,180
166,3,33204,Shane Lowry,3.13,738,236
166,0,34466,Peter Malnati,3.13,776,248
166,0,34213,Grayson Murray,3.13,514,164
171,-2,37378,Min Woo Lee,3.14,723,230
171,-2,23320,Ryan Palmer,3.14,527,168
173,-1,47663,Kevin Dougherty,3.15,580,184
173,-1,29221,Webb Simpson,3.15,530,168
173,-1,27649,Brandt Snedeker,3.15,586,186
173,-1,48119,Ben Taylor,3.15,536,170
177,-1,47995,Davis Riley,3.17,729,230
178,-1,37212,Paul Barjon,3.28,518,158
