REMOVE8a,REMOVE8b,PLAYER_ID,PLAYER,Par3_AVG,REMOVE8c,REMOVE8d
1,1,48081,Xander Schauffele,2.95,802,272
1,0,27139,David Skinns,2.95,631,214
3,1,29420,Billy Horschel,2.97,778,262
3,1,28775,Nate Lashley,2.97,552,186
3,-1,47993,Denny McCarthy,2.97,837,282
3,1,51997,Andrew Novak,2.97,749,252
7,0,33653,Thomas Detry,2.98,757,254
7,0,39975,Michael Kim,2.98,722,242
7,0,39546,Keith Mitchell,2.98,763,256
7,4,46046,Scottie Scheffler,2.98,752,252
7,0,40006,Erik van Rooyen,2.98,764,256
12,-1,40098,Matt Fitzpatrick,2.99,754,252
12,-1,54628,Lee Hodges,2.99,850,284
12,-1,33413,Ben Martin,2.99,563,188
12,0,30163,Henrik Norlander,2.99,425,142
12,-1,45242,Kevin Yu,2.99,670,224
17,-6,52955,Ludvig Åberg,3.00,709,236
17,4,22371,Aaron Baddeley,3.00,649,216
17,4,51766,Wyndham Clark,3.00,696,232
17,4,39997,Corey Conners,3.00,901,300
17,4,59442,Parker Coody,3.00,667,222
17,19,29936,Ryan Fox,3.00,757,252
17,4,34587,Chan Kim,3.00,755,252
17,4,48117,Kurt Kitayama,3.00,745,248
17,4,27129,Luke List,3.00,635,212
17,-6,50525,Collin Morikawa,3.00,755,252
17,-6,48153,Matthieu Pavon,3.00,666,222
17,4,57900,Chandler Phillips,3.00,727,242
17,4,48867,Matti Schmid,3.00,649,216
17,4,24502,Adam Scott,3.00,720,240
17,4,51890,Greyson Sigg,3.00,707,236
17,4,39327,Ben Silverman,3.00,785,262
17,4,55893,Sam Stevens,3.00,857,286
17,-6,52666,Sami Valimaki,3.00,641,214
35,1,34563,Chesson Hadley,3.01,602,200
35,1,34098,Russell Henley,3.01,722,240
35,1,24024,Zach Johnson,3.01,487,162
35,-14,46442,Maverick McNealy,3.01,771,256
35,1,59143,Mac Meissner,3.01,663,220
35,26,33968,Thorbjørn Olesen,3.01,590,196
35,15,49960,Sepp Straka,3.01,759,252
35,1,33448,Justin Thomas,3.01,687,228
35,1,47483,Will Zalatoris,3.01,693,230
44,6,33948,Byeong Hun An,3.02,754,250
44,-8,56630,Akshay Bhatia,3.02,871,288
44,6,40058,Zac Blair,3.02,664,220
44,6,34099,Harris English,3.02,834,276
44,6,30911,Tommy Fleetwood,3.02,713,236
44,-8,54591,Ben Griffin,3.02,1001,332
44,-8,35532,Tom Hoge,3.02,936,310
44,-8,37455,Si Woo Kim,3.02,942,312
44,6,32839,Hideki Matsuyama,3.02,732,242
44,-8,28237,Rory McIlroy,3.02,700,232
44,6,32640,Troy Merritt,3.02,707,234
44,6,27349,Alex Noren,3.02,810,268
44,-23,46414,Aaron Rai,3.02,923,306
44,6,51634,Sahith Theegala,3.02,845,280
58,3,60004,Jacob Bridgeman,3.03,631,208
58,3,59836,Pierceson Coody,3.03,660,218
58,3,51977,Max Greyserman,3.03,730,241
58,0,24980,Scott Gutschewski,3.03,449,148
58,3,33399,Adam Hadwin,3.03,775,256
58,3,39971,Sungjae Im,3.03,867,286
58,3,40162,Justin Lower,3.03,852,281
58,-8,52215,Robert MacIntyre,3.03,807,266
58,3,46441,Robby Shelton,3.03,697,230
58,-22,58168,Davis Thompson,3.03,938,310
58,3,38991,Alejandro Tosti,3.03,637,210
58,3,27064,Jhonattan Vegas,3.03,528,174
70,-59,32367,Jorge Campillo,3.04,626,206
70,3,51349,Nico Echavarria,3.04,765,252
70,3,54576,Patrick Fishburn,3.04,517,170
70,3,32102,Rickie Fowler,3.04,820,270
70,3,57975,Harry Hall,3.04,778,256
70,-34,27644,Brian Harman,3.04,869,286
70,3,60067,Joe Highsmith,3.04,560,184
70,-9,51287,Ryo Hisatsune,3.04,809,266
70,-9,55182,Tom Kim,3.04,925,304
70,3,55789,Taylor Montgomery,3.04,548,180
70,-20,29908,C.T. Pan,3.04,559,184
70,3,36699,Patrick Rodgers,3.04,772,254
82,-9,45522,Christiaan Bezuidenhout,3.05,797,261
82,6,52514,Trace Crowe,3.05,513,168
82,6,45157,Cam Davis,3.05,794,260
82,6,59095,Chris Gotterup,3.05,693,227
82,-9,31646,Emiliano Grillo,3.05,848,278
82,17,52453,Nicolai Højgaard,3.05,695,228
82,-9,39977,Max Homa,3.05,793,260
82,6,47420,Jake Knapp,3.05,836,274
82,6,36884,Ben Kohles,3.05,742,243
82,6,36871,Matt NeSmith,3.05,678,222
82,-9,47679,Victor Perez,3.05,775,254
82,6,49771,J.T. Poston,3.05,830,272
82,6,33486,Roger Sloan,3.05,556,182
82,6,27214,Kevin Streelman,3.05,573,188
82,17,30927,Brendon Todd,3.05,928,304
82,-9,48887,Matt Wallace,3.05,696,228
82,6,52513,Carson Young,3.05,714,234
