REMOVE12a,REMOVE12b,PLAYER_ID,PLAYER,Total_Putts_AVG,REMOVE12c,REMOVE12d,REMOVE12e
101,-5,27349,Alex Noren,28.97,1767,61,24
104,-1,27936,Martin Laird,28.98,1275,44,24
104,-1,40006,Erik van Rooyen,28.98,1710,59,23
106,-1,34563,Chesson Hadley,29.00,1276,44,24
106,-1,47420,Jake Knapp,29.00,1856,64,23
108,3,59442,Parker Coody,29.06,1453,50,23
108,-3,24024,Zach Johnson,29.06,1046,36,24
108,11,37378,Min Woo Lee,29.06,1511,52,26
108,3,23320,Ryan Palmer,29.06,1046,36,23
112,-7,31646,Emiliano Grillo,29.07,2006,69,23
113,-21,48117,Kurt Kitayama,29.08,1774,61,24
113,1,40162,Justin Lower,29.08,1832,63,23
115,0,27214,Kevin Streelman,29.09,1251,43,24
116,-7,33141,Keegan Bradley,29.10,1717,59,24
116,1,52513,Carson Young,29.10,1513,52,24
118,-5,29725,Tony Finau,29.11,1834,63,24
118,1,49960,Sepp Straka,29.11,1834,63,24
118,0,50493,Justin Suh,29.11,1281,44,24
121,6,29936,Ryan Fox,29.12,1747,60,25
122,-1,36699,Patrick Rodgers,29.13,1806,62,24
122,-1,33486,Roger Sloan,29.13,1165,40,21
124,-1,59095,Chris Gotterup,29.14,1486,51,23
124,-1,29478,Kevin Kisner,29.14,1049,36,21
126,1,51349,Nico Echavarria,29.16,1691,58,23
126,-1,33204,Shane Lowry,29.16,1633,56,24
128,-18,29908,C.T. Pan,29.18,1313,45,22
129,0,48867,Matti Schmid,29.19,1401,48,25
130,1,52374,Brandon Wu,29.21,1548,53,24
131,4,48153,Matthieu Pavon,29.22,1490,51,24
132,-3,48887,Matt Wallace,29.23,1520,52,23
133,-1,40115,Adam Svensson,29.24,2193,75,22
134,-1,51696,Rico Hoey,29.27,1405,48,25
134,-1,39324,J.J. Spaun,29.27,1434,49,24
136,-1,60067,Joe Highsmith,29.28,1171,40,25
137,2,27139,David Skinns,29.29,1406,48,26
138,-3,51287,Ryo Hisatsune,29.30,1758,60,24
139,3,36884,Ben Kohles,29.31,1612,55,24
140,-1,47679,Victor Perez,29.32,1759,60,23
141,-2,46414,Aaron Rai,29.34,2054,70,25
142,8,39997,Corey Conners,29.35,2201,75,23
143,0,52375,Doug Ghim,29.36,1556,53,24
143,0,26596,Ryan Moore,29.36,1468,50,24
145,-10,47483,Will Zalatoris,29.37,1527,52,24
146,-1,27649,Brandt Snedeker,29.38,1234,42,24
147,-1,26476,Chez Reavie,29.39,1293,44,23
148,-1,50497,Adrien Dumont de Chassart,29.40,1470,50,21
148,-1,51600,Jimmy Stanger,29.40,1029,35,23
150,0,24980,Scott Gutschewski,29.41,941,32,24
151,0,27129,Luke List,29.43,1560,53,25
151,0,38991,Alejandro Tosti,29.43,1383,47,23
151,-4,31323,Gary Woodland,29.43,1648,56,23
154,-1,46340,Alex Smalley,29.45,1296,44,25
155,-1,32757,Patton Kizzire,29.47,1120,38,25
156,-1,45609,Tyler Duncan,29.52,1299,44,24
157,-1,39546,Keith Mitchell,29.54,1684,57,23
158,-1,28420,Ryan Brehm,29.55,1182,40,24
159,-1,34255,Joseph Bramlett,29.56,1537,52,25
159,-1,52372,Cameron Champ,29.56,1005,34,26
161,0,32070,Rafael Campos,29.58,1124,38,25
162,-2,52453,Nicolai Højgaard,29.62,1629,55,25
