REMOVE21a,REMOVE21b,PLAYER_ID,PLAYER,SG_TOTAL_AVG,REMOVE21c,REMOVE21d,REMOVE21e,REMOVE21f
93,0,48153,Matthieu Pavon,0.110,4.524,-2.910,7.435,41
94,0,36699,Patrick Rodgers,0.078,4.677,2.357,2.319,60
95,0,40162,Justin Lower,0.076,4.416,-11.020,15.435,58
96,0,47420,Jake Knapp,0.073,4.308,2.115,2.193,59
97,0,34076,Joel Dahmen,0.067,3.287,30.133,-26.846,49
98,0,32640,Troy Merritt,0.066,2.967,9.627,-6.661,45
99,0,34256,Andrew Putnam,0.061,3.410,-16.495,19.904,56
100,0,29936,Ryan Fox,0.055,2.819,-11.020,13.840,51
101,0,30163,Henrik Norlander,0.044,1.144,1.677,-.533,26
102,-1,47663,Kevin Dougherty,0.042,1.463,6.674,-5.212,35
103,-1,32757,Patton Kizzire,0.030,0.968,13.216,-12.248,32
104,-1,39975,Michael Kim,0.025,1.115,-3.703,4.817,45
105,-1,33486,Roger Sloan,0.019,0.638,-5.000,5.638,33
106,-1,49947,Taylor Moore,0.016,1.004,-4.335,5.339,61
107,-1,54576,Patrick Fishburn,-0.001,-0.035,-.011,-.025,29
108,-1,28252,Seamus Power,-0.002,-0.113,7.884,-7.998,63
109,-1,30927,Brendon Todd,-0.018,-1.270,-24.352,23.081,70
110,-1,40058,Zac Blair,-0.040,-1.963,.033,-1.997,49
111,-1,40026,Daniel Berger,-0.055,-2.028,24.677,-26.705,37
112,-1,39324,J.J. Spaun,-0.058,-2.713,2.950,-5.664,47
113,-1,12716,Charley Hoffman,-0.069,-2.682,7.132,-9.815,39
114,-1,37275,Sam Ryder,-0.071,-3.201,-7.867,4.666,45
115,-1,27936,Martin Laird,-0.080,-3.109,-10.554,7.445,39
116,-1,47483,Will Zalatoris,-0.082,-3.684,9.282,-12.966,45
117,-1,32791,K.H. Lee,-0.091,-3.748,-5.930,2.181,41
118,-1,40115,Adam Svensson,-0.108,-7.885,36.482,-44.367,73
119,-1,59095,Chris Gotterup,-0.114,-5.262,-4.027,-1.235,46
120,-1,46441,Robby Shelton,-0.124,-6.303,-7.452,1.147,51
121,-1,22371,Aaron Baddeley,-0.127,-5.476,-31.698,26.220,43
122,-1,31646,Emiliano Grillo,-0.136,-8.276,-13.316,5.040,61
123,-1,54628,Lee Hodges,-0.146,-9.214,-2.847,-6.366,63
124,-1,52453,Nicolai Højgaard,-0.156,-6.720,6.263,-12.983,43
125,-1,51890,Greyson Sigg,-0.163,-7.668,21.512,-29.182,47
126,-1,29221,Webb Simpson,-0.175,-6.998,10.916,-17.915,40
127,-1,35310,Lanto Griffin,-0.195,-7.611,-1.035,-6.576,39
128,-1,52514,Trace Crowe,-0.213,-6.380,-10.053,3.672,30
129,-1,47347,Adam Schenk,-0.214,-12.814,-15.397,2.582,60
130,-1,59442,Parker Coody,-0.220,-9.457,-2.845,-6.614,43
131,-1,46113,Ryan McCormick,-0.244,-8.045,-20.855,12.808,33
132,-1,26476,Chez Reavie,-0.245,-9.569,8.187,-17.758,39
133,-1,55789,Taylor Montgomery,-0.253,-9.343,-40.504,31.161,37
134,-1,52374,Brandon Wu,-0.280,-12.301,-11.590,-.713,44
135,-1,23108,Matt Kuchar,-0.284,-12.500,-32.386,19.884,44
136,-1,48867,Matti Schmid,-0.312,-12.168,-16.381,4.211,39
137,-1,47983,Chad Ramey,-0.328,-14.110,-29.110,14.997,43
138,-1,59866,Nick Dunlap,-0.333,-15.962,-18.885,2.924,48
139,-1,55708,Hayden Buckley,-0.336,-15.797,-17.454,1.656,47
140,-1,47988,Nick Hardy,-0.352,-18.634,-9.633,-9.003,53
141,-1,27129,Luke List,-0.362,-16.993,-12.953,-4.042,47
142,-1,34466,Peter Malnati,-0.373,-19.752,-44.643,24.891,53
143,-1,27214,Kevin Streelman,-0.381,-14.469,-3.782,-10.688,38
144,-1,33408,Tyson Alexander,-0.388,-17.058,-37.209,20.149,44
145,-1,34310,Alexander Björk,-0.427,-14.942,-36.135,21.192,35
146,-1,52372,Cameron Champ,-0.429,-13.307,-23.039,9.730,31
147,-1,45157,Cam Davis,-0.439,-24.578,-11.404,-13.174,56
148,-1,36884,Ben Kohles,-0.468,-22.473,-23.197,.722,48
149,-1,36871,Matt NeSmith,-0.490,-22.050,-15.250,-6.800,45
150,-1,51349,Nico Echavarria,-0.506,-24.800,-16.387,-8.416,49
151,-1,45609,Tyler Duncan,-0.508,-18.780,-6.788,-11.992,37
152,-1,22405,Justin Rose,-0.557,-26.195,-27.144,.949,47
153,-1,54421,Garrick Higgo,-0.569,-25.057,-33.593,8.535,44
154,-1,51894,Vince Whaley,-0.586,-19.343,-23.792,4.447,33
154,-1,55454,Carl Yuan,-0.586,-24.040,7.695,-31.738,41
156,-1,38991,Alejandro Tosti,-0.610,-26.856,-10.137,-16.719,44
157,-1,31323,Gary Woodland,-0.687,-33.685,-24.939,-8.746,49
158,-1,32102,Rickie Fowler,-0.689,-38.610,-36.219,-2.390,56
159,-1,23320,Ryan Palmer,-0.712,-22.770,-13.046,-9.727,32
160,-1,36326,David Lipsky,-0.735,-30.873,-.957,-29.918,42
161,-1,32070,Rafael Campos,-0.738,-21.404,-14.348,-7.059,29
162,-1,50493,Justin Suh,-0.758,-29.571,-54.510,24.937,39
163,-1,47995,Davis Riley,-0.765,-39.033,-47.888,8.855,51
163,-1,51600,Jimmy Stanger,-0.765,-19.893,-8.029,-11.866,26
165,-1,48319,Tom Whitney,-0.774,-25.557,-7.285,-18.274,33
166,-1,60067,Joe Highsmith,-0.780,-25.749,-5.082,-20.669,33
167,-1,46340,Alex Smalley,-0.895,-34.027,-14.672,-19.357,38
168,-1,48699,Callum Tarren,-1.127,-46.189,-26.799,-19.392,41
169,0,24980,Scott Gutschewski,-1.318,-32.957,-21.553,-11.405,25
170,-1,51070,Vincent Norrman,-1.344,-56.454,-16.130,-40.326,42
171,-1,50497,Adrien Dumont de Chassart,-1.363,-55.900,-44.930,-10.970,41
172,-1,48119,Ben Taylor,-1.410,-52.154,-55.746,3.589,37
173,-1,28420,Ryan Brehm,-1.501,-49.520,-38.746,-10.776,33
174,-1,34374,Erik Barnes,-1.717,-58.364,-52.451,-5.914,34
175,-1,27649,Brandt Snedeker,-1.732,-67.536,-59.507,-8.032,39
176,-1,29478,Kevin Kisner,-1.882,-64.003,-70.290,6.285,34
177,-1,37212,Paul Barjon,-1.927,-55.897,-49.471,-6.428,29
178,-1,27770,Camilo Villegas,-2.146,-66.534,-47.455,-19.082,31
