REMOVE14a,REMOVE14b,PLAYER_ID,PLAYER,Scrambling_Rough%,REMOVE14c,REMOVE14d
146,-1,48867,Matti Schmid,53.57%,60,112
147,-1,39975,Michael Kim,53.44%,70,131
148,-1,52375,Doug Ghim,53.40%,55,103
149,-1,33399,Adam Hadwin,53.33%,56,105
150,-1,47995,Davis Riley,53.28%,73,137
151,-1,30927,Brendon Todd,53.25%,90,169
152,-1,52374,Brandon Wu,53.21%,58,109
153,-1,39546,Keith Mitchell,53.15%,59,111
154,-1,48119,Ben Taylor,52.99%,62,117
155,-1,36699,Patrick Rodgers,52.94%,63,119
156,-1,49771,J.T. Poston,52.73%,58,110
157,-1,52453,Nicolai Højgaard,52.68%,59,112
158,-1,50493,Justin Suh,52.63%,60,114
159,-1,47420,Jake Knapp,52.54%,62,118
160,-1,28420,Ryan Brehm,52.17%,48,92
161,-1,34255,Joseph Bramlett,51.89%,55,106
162,-1,48699,Callum Tarren,51.18%,65,127
163,-1,39324,J.J. Spaun,51.04%,49,96
164,-1,38991,Alejandro Tosti,50.82%,62,122
165,-1,48153,Matthieu Pavon,50.55%,46,91
166,-1,31323,Gary Woodland,50.39%,64,127
167,-1,51766,Wyndham Clark,50.00%,39,78
167,-1,39997,Corey Conners,50.00%,47,94
167,-1,27770,Camilo Villegas,50.00%,43,86
170,-1,45157,Cam Davis,49.61%,64,129
171,-1,57362,Austin Eckroat,49.57%,58,117
172,-1,52666,Sami Valimaki,49.56%,56,113
173,-1,36326,David Lipsky,48.89%,44,90
174,-1,27649,Brandt Snedeker,48.62%,53,109
175,-1,52372,Cameron Champ,48.61%,35,72
176,-1,29478,Kevin Kisner,44.58%,37,83
177,-1,34213,Grayson Murray,43.06%,31,72
178,-1,37212,Paul Barjon,40.86%,38,93
