REMOVE16a,REMOVE16b,PLAYER_ID,PLAYER,Scrambling%,REMOVE16c,REMOVE16d
137,3,46340,Alex Smalley,57.03%,150,263
138,3,33948,Byeong Hun An,57.02%,207,363
139,2,52374,Brandon Wu,56.97%,184,323
140,-29,32102,Rickie Fowler,56.71%,245,432
141,-13,51766,Wyndham Clark,56.67%,187,330
142,-24,25900,Lucas Glover,56.62%,231,408
143,0,46113,Ryan McCormick,56.49%,135,239
144,3,39997,Corey Conners,56.47%,227,402
145,-1,47420,Jake Knapp,56.46%,223,395
146,-1,27064,Jhonattan Vegas,56.45%,105,186
147,-18,33968,Thorbjørn Olesen,56.44%,171,303
148,-1,31646,Emiliano Grillo,56.42%,246,436
149,-3,27129,Luke List,56.39%,181,321
150,-1,51349,Nico Echavarria,56.33%,187,332
151,-1,52372,Cameron Champ,56.25%,117,208
151,-1,29478,Kevin Kisner,56.25%,144,256
153,0,60067,Joe Highsmith,56.15%,137,244
154,0,27214,Kevin Streelman,56.11%,147,262
155,0,36326,David Lipsky,56.06%,148,264
156,0,37275,Sam Ryder,55.92%,170,304
157,5,57362,Austin Eckroat,55.77%,232,416
158,9,29936,Ryan Fox,55.64%,217,390
159,-7,52453,Nicolai Højgaard,55.49%,192,346
160,-3,28420,Ryan Brehm,55.39%,149,269
161,-2,27649,Brandt Snedeker,55.24%,158,286
162,-2,37378,Min Woo Lee,54.87%,186,339
163,0,48319,Tom Whitney,54.73%,133,243
164,0,48119,Ben Taylor,54.61%,148,271
165,-4,33141,Keegan Bradley,54.60%,196,359
166,-1,40026,Daniel Berger,54.51%,133,244
167,-9,34046,Jordan Spieth,54.48%,213,391
168,-2,35310,Lanto Griffin,54.35%,125,230
169,0,50497,Adrien Dumont de Chassart,53.90%,166,308
170,1,48699,Callum Tarren,53.51%,160,299
171,1,59866,Nick Dunlap,53.22%,182,342
172,-4,46717,Viktor Hovland,53.03%,140,264
173,0,50493,Justin Suh,53.02%,149,281
174,-4,51070,Vincent Norrman,52.14%,134,257
175,-1,38991,Alejandro Tosti,52.03%,154,296
176,-1,27770,Camilo Villegas,51.26%,122,238
177,-1,37212,Paul Barjon,50.22%,115,229
178,-1,31323,Gary Woodland,50.13%,190,379
