REMOVE6a,REMOVE6b,PLAYER_ID,PLAYER,GIR%,REMOVE6c,REMOVE6d,GIR_RELATIVE/PAR
104,7,40250,Taylor Pendrith,65.48%,660,1008,-0.31
104,7,40115,Adam Svensson,65.48%,884,1350,-0.25
106,8,59442,Parker Coody,65.44%,589,900,-0.26
107,-20,51766,Wyndham Clark,65.41%,624,954,-0.37
108,-10,27644,Brian Harman,65.34%,835,1278,-0.31
108,0,50525,Collin Morikawa,65.34%,741,1134,-0.34
110,5,54628,Lee Hodges,65.26%,787,1206,-0.26
111,6,54421,Garrick Higgo,65.25%,599,918,-0.30
112,-23,48153,Matthieu Pavon,65.14%,598,918,-0.27
113,-8,46442,Maverick McNealy,65.07%,691,1062,-0.32
114,-16,49947,Taylor Moore,65.06%,808,1242,-0.28
115,-10,52453,Nicolai Højgaard,65.05%,644,990,-0.26
115,7,47983,Chad Ramey,65.05%,562,864,-0.28
117,6,38991,Alejandro Tosti,65.01%,550,846,-0.30
118,-11,36799,Stephan Jaeger,64.97%,690,1062,-0.30
119,0,31646,Emiliano Grillo,64.90%,806,1242,-0.28
120,-3,33448,Justin Thomas,64.81%,595,918,-0.31
121,4,47347,Adam Schenk,64.71%,792,1224,-0.28
122,-7,49771,J.T. Poston,64.70%,757,1170,-0.31
123,13,34098,Russell Henley,64.66%,710,1098,-0.30
124,6,50493,Justin Suh,64.52%,511,792,-0.29
125,-4,40098,Matt Fitzpatrick,64.46%,731,1134,-0.32
126,2,30926,Chris Kirk,64.41%,684,1062,-0.29
127,4,12716,Charley Hoffman,64.39%,510,792,-0.30
128,5,47995,Davis Riley,64.36%,614,954,-0.30
129,-5,39971,Sungjae Im,64.34%,776,1206,-0.32
130,4,27770,Camilo Villegas,64.26%,428,666,-0.24
131,4,32791,K.H. Lee,64.25%,532,828,-0.28
132,-13,34099,Harris English,64.17%,797,1242,-0.30
133,-4,47504,Sam Burns,64.13%,658,1026,-0.34
