REMOVE13a,REMOVE13b,PLAYER_ID,PLAYER,Strokes_Adj_AVG,REMOVE13c,REMOVE13d,REMOVE13e
108,1,35310,Lanto Griffin,71.234,3362,57.233,48
108,1,34256,Andrew Putnam,71.234,4282,63.278,61
110,-4,25493,Nick Taylor,71.235,4519,40.063,64
111,0,40115,Adam Svensson,71.237,5299,43.757,75
112,0,48867,Matti Schmid,71.239,3589,44.209,51
113,1,34076,Joel Dahmen,71.258,4278,68.761,61
114,1,59442,Parker Coody,71.263,3727,49.947,53
115,1,32757,Patton Kizzire,71.265,2861,60.873,41
115,-7,49947,Taylor Moore,71.265,4882,35.278,69
117,33,22405,Justin Rose,71.278,3892,28.265,55
118,5,31646,Emiliano Grillo,71.295,4894,25.335,69
119,-2,59095,Chris Gotterup,71.308,3797,53.625,54
120,-2,37275,Sam Ryder,71.320,3861,61.585,55
121,-2,26596,Ryan Moore,71.326,3736,44.295,53
122,-2,52453,Nicolai Højgaard,71.337,3921,2.508,55
123,-2,59866,Nick Dunlap,71.339,3885,38.643,55
124,-2,52514,Trace Crowe,71.348,2804,49.938,40
125,-1,39324,J.J. Spaun,71.351,3451,45.184,49
126,-1,23108,Matt Kuchar,71.354,3418,6.975,48
127,-14,34310,Alexander Björk,71.357,2968,28.976,42
128,-2,26476,Chez Reavie,71.358,3378,47.186,48
129,-2,22371,Aaron Baddeley,71.367,3587,52.735,51
130,-2,34213,Grayson Murray,71.374,2903,23.341,41
131,-2,54576,Patrick Fishburn,71.386,2875,51.838,41
132,-2,51600,Jimmy Stanger,71.391,2737,47.247,39
133,-2,47663,Kevin Dougherty,71.405,3019,51.407,43
133,-2,36884,Ben Kohles,71.405,4160,52.876,59
135,-2,52374,Brandon Wu,71.409,3945,53.908,56
136,-2,55789,Taylor Montgomery,71.415,3024,46.824,43
137,-2,47420,Jake Knapp,71.419,4731,54.091,67
138,-2,54628,Lee Hodges,71.439,4939,61.729,70
139,-2,45157,Cam Davis,71.442,4528,44.257,64
140,-2,47983,Chad Ramey,71.451,3595,49.018,51
141,-2,51894,Vince Whaley,71.482,3230,58.191,46
142,-2,27214,Kevin Streelman,71.502,3239,50.079,46
143,-2,34466,Peter Malnati,71.503,4261,29.174,60
144,-2,51349,Nico Echavarria,71.504,4355,78.248,62
145,-2,45609,Tyler Duncan,71.505,3383,49.258,48
146,-2,36871,Matt NeSmith,71.509,3803,58.509,54
147,-1,27129,Luke List,71.539,3746,45.573,53
148,-3,47347,Adam Schenk,71.552,5025,55.157,71
149,-2,32070,Rafael Campos,71.557,2682,37.148,38
150,2,31323,Gary Woodland,71.580,4005,3.486,56
151,-3,38991,Alejandro Tosti,71.582,3534,45.121,50
152,-3,60067,Joe Highsmith,71.625,3104,47.484,44
153,-2,23320,Ryan Palmer,71.649,2754,40.311,39
154,-1,54421,Garrick Higgo,71.664,3806,63.834,54
155,-1,47988,Nick Hardy,71.695,4027,59.611,57
156,-1,52372,Cameron Champ,71.702,2615,37.983,37
157,-1,33486,Roger Sloan,71.707,3029,54.390,43
158,-1,55708,Hayden Buckley,71.719,3814,58.839,54
159,-1,46340,Alex Smalley,71.814,3388,59.056,48
160,-1,50493,Justin Suh,71.873,3328,50.024,47
161,-1,46113,Ryan McCormick,71.885,3033,58.068,43
162,-1,33408,Tyson Alexander,71.895,3688,50.543,52
163,-1,55454,Carl Yuan,71.952,3337,44.750,47
164,0,50497,Adrien Dumont de Chassart,71.993,3749,66.629,53
165,0,47995,Davis Riley,71.995,3957,74.728,56
166,0,32102,Rickie Fowler,72.000,4854,42.002,68
167,0,36326,David Lipsky,72.062,3413,45.999,48
168,0,48319,Tom Whitney,72.075,3198,45.356,45
169,0,48699,Callum Tarren,72.121,3492,41.931,49
170,0,34374,Erik Barnes,72.282,3057,51.107,43
171,0,51070,Vincent Norrman,72.333,3229,25.964,45
172,0,48119,Ben Taylor,72.753,2943,39.864,41
173,0,24980,Scott Gutschewski,72.839,2506,43.353,35
174,-1,28420,Ryan Brehm,72.937,3094,42.289,43
175,-1,27649,Brandt Snedeker,72.962,3240,43.302,45
176,-1,37212,Paul Barjon,72.973,2727,45.978,38
177,-1,29478,Kevin Kisner,73.096,2813,37.725,39
178,-1,27770,Camilo Villegas,73.114,2950,47.683,41
