REMOVE15a,REMOVE15b,PLAYER_ID,PLAYER,Scrambling_Sand%,REMOVE15c,REMOVE15d
131,-1,33968,Thorbjørn Olesen,48.57%,17,35
132,-1,47591,Eric Cole,48.53%,33,68
133,0,24980,Scott Gutschewski,48.39%,15,31
133,-1,37378,Min Woo Lee,48.39%,30,62
135,-1,60067,Joe Highsmith,48.08%,25,52
136,-1,55182,Tom Kim,47.73%,42,88
137,-1,47995,Davis Riley,47.27%,26,55
138,-1,40006,Erik van Rooyen,47.06%,24,51
139,-1,27770,Camilo Villegas,46.67%,21,45
140,-1,29936,Ryan Fox,46.55%,27,58
141,-1,32640,Troy Merritt,46.43%,26,56
142,-1,51287,Ryo Hisatsune,46.34%,19,41
142,-1,51600,Jimmy Stanger,46.34%,19,41
142,-1,27214,Kevin Streelman,46.34%,19,41
145,-1,51890,Greyson Sigg,46.15%,30,65
146,-1,29478,Kevin Kisner,45.65%,21,46
147,-1,55708,Hayden Buckley,44.90%,22,49
147,-1,59866,Nick Dunlap,44.90%,22,49
149,-1,38991,Alejandro Tosti,44.83%,26,58
150,-1,48153,Matthieu Pavon,44.19%,19,43
151,-1,54576,Patrick Fishburn,44.12%,15,34
152,-1,59442,Parker Coody,44.00%,22,50
153,-1,27139,David Skinns,43.75%,21,48
154,-1,52514,Trace Crowe,43.59%,17,39
154,-1,51696,Rico Hoey,43.59%,17,39
156,-1,32070,Rafael Campos,43.48%,10,23
157,-1,27129,Luke List,43.40%,23,53
158,-1,37212,Paul Barjon,42.86%,15,35
158,-1,36799,Stephan Jaeger,42.86%,24,56
158,-1,33448,Justin Thomas,42.86%,21,49
161,-1,32367,Jorge Campillo,41.86%,18,43
162,-1,46113,Ryan McCormick,41.46%,17,41
163,-1,26596,Ryan Moore,41.30%,19,46
164,-1,49960,Sepp Straka,40.91%,27,66
165,-1,40026,Daniel Berger,40.82%,20,49
165,-1,48119,Ben Taylor,40.82%,20,49
165,-1,31323,Gary Woodland,40.82%,20,49
168,-1,36326,David Lipsky,40.00%,18,45
168,-1,51634,Sahith Theegala,40.00%,24,60
168,-1,27064,Jhonattan Vegas,40.00%,10,25
171,-1,46717,Viktor Hovland,39.53%,17,43
172,-1,45242,Kevin Yu,39.13%,18,46
173,-1,47663,Kevin Dougherty,38.89%,14,36
174,-1,48319,Tom Whitney,38.64%,17,44
175,-1,52372,Cameron Champ,37.50%,18,48
176,-1,50497,Adrien Dumont de Chassart,35.42%,17,48
177,-1,51070,Vincent Norrman,33.33%,12,36
178,-1,35310,Lanto Griffin,31.91%,15,47
