REMOVE7a,REMOVE7b,PLAYER_ID,PLAYER,Putts_Overall_AVG,REMOVE7c,REMOVE7d
124,-1,59095,Chris Gotterup,1.619,1486,918
124,-1,29478,Kevin Kisner,1.619,1049,648
126,-1,51349,Nico Echavarria,1.620,1691,1044
126,-1,33204,Shane Lowry,1.620,1633,1008
128,-18,29908,C.T. Pan,1.621,1313,810
129,0,48867,Matti Schmid,1.622,1401,864
130,3,48153,Matthieu Pavon,1.623,1490,918
130,1,52374,Brandon Wu,1.623,1548,954
132,0,40115,Adam Svensson,1.624,2193,1350
132,-3,48887,Matt Wallace,1.624,1520,936
134,-1,60067,Joe Highsmith,1.626,1171,720
134,-1,51696,Rico Hoey,1.626,1405,864
134,-1,39324,J.J. Spaun,1.626,1434,882
137,1,27139,David Skinns,1.627,1406,864
138,-5,51287,Ryo Hisatsune,1.628,1758,1080
138,4,36884,Ben Kohles,1.628,1612,990
140,-2,47679,Victor Perez,1.629,1759,1080
141,9,39997,Corey Conners,1.630,2201,1350
141,-3,46414,Aaron Rai,1.630,2054,1260
143,0,52375,Doug Ghim,1.631,1556,954
143,0,26596,Ryan Moore,1.631,1468,900
143,-5,47483,Will Zalatoris,1.631,1527,936
146,-1,27649,Brandt Snedeker,1.632,1234,756
147,-1,50497,Adrien Dumont de Chassart,1.633,1470,900
147,-1,26476,Chez Reavie,1.633,1293,792
147,-1,51600,Jimmy Stanger,1.633,1029,630
150,0,24980,Scott Gutschewski,1.634,941,576
151,-1,27129,Luke List,1.635,1560,954
151,-1,38991,Alejandro Tosti,1.635,1383,846
151,-2,31323,Gary Woodland,1.635,1648,1008
154,-1,46340,Alex Smalley,1.636,1296,792
155,-1,32757,Patton Kizzire,1.637,1120,684
156,-1,45609,Tyler Duncan,1.640,1299,792
157,-1,39546,Keith Mitchell,1.641,1684,1026
158,-1,34255,Joseph Bramlett,1.642,1537,936
158,-1,28420,Ryan Brehm,1.642,1182,720
158,-1,52372,Cameron Champ,1.642,1005,612
161,-1,32070,Rafael Campos,1.643,1124,684
162,-2,52453,Nicolai Højgaard,1.645,1629,990
163,-1,47663,Kevin Dougherty,1.647,1186,720
164,-1,34076,Joel Dahmen,1.648,1720,1044
165,-1,48699,Callum Tarren,1.651,1367,828
166,-1,37212,Paul Barjon,1.654,1012,612
167,-1,36326,David Lipsky,1.657,1342,810
168,-1,27770,Camilo Villegas,1.658,1104,666
169,-1,54576,Patrick Fishburn,1.659,1135,684
169,-1,36871,Matt NeSmith,1.659,1493,900
171,-1,47988,Nick Hardy,1.662,1705,1026
171,-1,27064,Jhonattan Vegas,1.662,1137,684
173,-1,35310,Lanto Griffin,1.663,1317,792
174,-1,48319,Tom Whitney,1.664,1258,756
175,-1,51890,Greyson Sigg,1.665,1558,936
176,-1,45242,Kevin Yu,1.670,1533,918
177,-1,40026,Daniel Berger,1.682,1332,792
178,-1,51070,Vincent Norrman,1.712,1387,810
