REMOVE9a,REMOVE9b,PLAYER_ID,PLAYER,Par4_AVG,REMOVE9c,REMOVE9d
166,-8,33968,Thorbjørn Olesen,4.09,1971,482
166,-3,47483,Will Zalatoris,4.09,2428,594
169,-1,32102,Rickie Fowler,4.10,2995,730
169,0,24980,Scott Gutschewski,4.10,1469,358
169,1,27649,Brandt Snedeker,4.10,1928,470
169,1,48119,Ben Taylor,4.10,1765,430
169,1,48319,Tom Whitney,4.10,1894,462
174,-1,29478,Kevin Kisner,4.12,1712,416
175,-1,28420,Ryan Brehm,4.13,1824,442
175,-1,51070,Vincent Norrman,4.13,2000,484
175,-1,48699,Callum Tarren,4.13,2106,510
175,-1,31323,Gary Woodland,4.13,2505,606
