REMOVE9a,REMOVE9b,PLAYER_ID,PLAYER,Par4_AVG,REMOVE9c,REMOVE9d
1,0,46046,Scottie Scheffler,3.87,2625,678
2,0,48081,Xander Schauffele,3.92,2766,706
3,0,52955,Ludvig Åberg,3.96,2497,630
3,0,45522,Christiaan Bezuidenhout,3.96,2704,682
3,0,32757,Patton Kizzire,3.96,1720,434
3,0,27349,Alex Noren,3.96,2733,690
3,0,34256,Andrew Putnam,3.96,2579,652
3,0,39327,Ben Silverman,3.96,2623,662
9,2,28089,Jason Day,3.97,2758,694
9,-6,54591,Ben Griffin,3.97,3370,849
9,2,50525,Collin Morikawa,3.97,2694,678
9,-6,46414,Aaron Rai,3.97,3074,774
13,4,60004,Jacob Bridgeman,3.98,2070,520
13,4,52514,Trace Crowe,3.98,1638,412
13,4,27644,Brian Harman,3.98,3058,768
13,-2,51287,Ryo Hisatsune,3.98,2677,672
13,4,39971,Sungjae Im,3.98,3023,760
13,4,27936,Martin Laird,3.98,1996,502
13,4,33204,Shane Lowry,3.98,2541,638
13,-2,28237,Rory McIlroy,3.98,2420,608
13,-2,46442,Maverick McNealy,3.98,2612,656
13,4,39546,Keith Mitchell,3.98,2563,644
13,4,51894,Vince Whaley,3.98,1885,474
24,-7,30911,Tommy Fleetwood,3.99,2539,636
24,11,52375,Doug Ghim,3.99,2330,584
24,-7,25900,Lucas Glover,3.99,2874,720
24,11,57975,Harry Hall,3.99,2548,638
24,11,34098,Russell Henley,3.99,2639,662
24,-7,35532,Tom Hoge,3.99,3314,830
24,11,36801,Mark Hubbard,3.99,3105,778
24,-13,24024,Zach Johnson,3.99,1722,432
24,11,34587,Chan Kim,3.99,2463,618
24,-7,30926,Chris Kirk,3.99,2721,682
24,-7,52215,Robert MacIntyre,3.99,2689,674
24,-7,32839,Hideki Matsuyama,3.99,2611,654
24,0,30163,Henrik Norlander,3.99,1405,352
24,11,51997,Andrew Novak,3.99,2465,618
24,11,40250,Taylor Pendrith,3.99,2515,630
24,-7,34046,Jordan Spieth,3.99,2763,693
24,-7,58168,Davis Thompson,3.99,3125,784
24,11,40006,Erik van Rooyen,3.99,2663,668
24,11,27064,Jhonattan Vegas,3.99,1701,426
24,11,54783,Dylan Wu,3.99,2364,592
24,11,52513,Carson Young,3.99,2348,588
45,-28,47504,Sam Burns,4.00,2629,658
45,5,35450,Patrick Cantlay,4.00,2442,610
45,-28,51766,Wyndham Clark,4.00,2432,608
45,-10,39997,Corey Conners,4.00,3255,814
45,5,59836,Pierceson Coody,4.00,2242,560
45,5,34076,Joel Dahmen,4.00,2592,648
45,5,35461,Beau Hossler,4.00,2602,650
45,5,46717,Viktor Hovland,4.00,1922,480
45,-10,37455,Si Woo Kim,4.00,3329,832
45,5,40162,Justin Lower,4.00,2822,705
45,5,59143,Mac Meissner,4.00,2233,558
45,5,32640,Troy Merritt,4.00,2400,600
45,5,55789,Taylor Montgomery,4.00,1787,447
45,-10,29908,C.T. Pan,4.00,1930,483
45,5,57900,Chandler Phillips,4.00,2402,601
45,5,47983,Chad Ramey,4.00,2128,532
45,5,26476,Chez Reavie,4.00,2001,500
45,5,37275,Sam Ryder,4.00,2286,572
45,5,50484,Hayden Springer,4.00,1913,478
64,7,56630,Akshay Bhatia,4.01,3053,762
64,7,34255,Joseph Bramlett,4.01,2326,580
64,7,47663,Kevin Dougherty,4.01,1755,438
64,7,51349,Nico Echavarria,4.01,2641,658
64,-14,29725,Tony Finau,4.01,2847,710
64,7,51977,Max Greyserman,4.01,2401,599
64,7,51696,Rico Hoey,4.01,2118,528
64,-14,36799,Stephan Jaeger,4.01,2690,670
64,7,39975,Michael Kim,4.01,2432,606
64,-14,55182,Tom Kim,4.01,3312,826
64,-14,37378,Min Woo Lee,4.01,2373,592
64,7,34466,Peter Malnati,4.01,2558,638
64,-14,49771,J.T. Poston,4.01,3013,752
64,7,33486,Roger Sloan,4.01,1758,438
64,7,46340,Alex Smalley,4.01,1995,498
64,7,51600,Jimmy Stanger,4.01,1610,401
64,7,55893,Sam Stevens,4.01,2852,712
64,-14,49960,Sepp Straka,4.01,2720,678
64,7,25493,Nick Taylor,4.01,2745,684
64,-14,51634,Sahith Theegala,4.01,2970,740
64,-29,48887,Matt Wallace,4.01,2340,584
64,7,57366,Cameron Young,4.01,2963,738
64,7,45242,Kevin Yu,4.01,2351,586
87,-16,33948,Byeong Hun An,4.02,2724,678
87,2,55708,Hayden Buckley,4.02,2294,570
87,2,32367,Jorge Campillo,4.02,2018,502
87,2,59095,Chris Gotterup,4.02,2274,565
87,2,35310,Lanto Griffin,4.02,2016,502
87,-16,33399,Adam Hadwin,4.02,2696,670
87,2,54421,Garrick Higgo,4.02,2289,570
87,2,36884,Ben Kohles,4.02,2519,627
87,2,28775,Nate Lashley,4.02,1899,472
87,2,32791,K.H. Lee,4.02,2120,527
87,2,33413,Ben Martin,4.02,1938,482
87,2,26596,Ryan Moore,4.02,2219,552
87,2,36871,Matt NeSmith,4.02,2300,572
87,2,47995,Davis Riley,4.02,2385,594
87,2,36699,Patrick Rodgers,4.02,2646,658
87,23,24502,Adam Scott,4.02,2592,644
87,2,39324,J.J. Spaun,4.02,2058,512
87,-16,33448,Justin Thomas,4.02,2334,580
105,5,22371,Aaron Baddeley,4.03,2087,518
105,5,40026,Daniel Berger,4.03,2072,514
105,5,40058,Zac Blair,4.03,2347,582
105,-16,33141,Keegan Bradley,4.03,2577,640
105,5,32070,Rafael Campos,4.03,1573,390
105,-16,47591,Eric Cole,4.03,3568,886
105,5,33653,Thomas Detry,4.03,2557,634
105,5,50497,Adrien Dumont de Chassart,4.03,2241,556
105,5,45609,Tyler Duncan,4.03,2049,508
105,-16,34099,Harris English,4.03,3003,746
105,5,54576,Patrick Fishburn,4.03,1692,420
105,5,39977,Max Homa,4.03,2790,692
105,26,29420,Billy Horschel,4.03,2735,678
105,5,35506,Mackenzie Hughes,4.03,2863,710
105,5,50188,S.H. Kim,4.03,3250,806
105,-16,47993,Denny McCarthy,4.03,3109,772
105,-16,47679,Victor Perez,4.03,2560,636
105,5,28252,Seamus Power,4.03,2808,696
105,5,46441,Robby Shelton,4.03,2328,578
105,5,51890,Greyson Sigg,4.03,2377,590
105,5,29221,Webb Simpson,4.03,1780,442
105,5,27139,David Skinns,4.03,2153,534
105,5,27214,Kevin Streelman,4.03,1966,488
105,5,40115,Adam Svensson,4.03,3283,814
105,-16,30927,Brendon Todd,4.03,3272,812
130,1,34563,Chesson Hadley,4.04,2042,506
130,1,54628,Lee Hodges,4.04,2993,740
130,1,12716,Charley Hoffman,4.04,2003,496
130,-41,48117,Kurt Kitayama,4.04,2659,658
130,1,23108,Matt Kuchar,4.04,2075,514
130,1,46113,Ryan McCormick,4.04,1771,438
130,1,48153,Matthieu Pavon,4.04,2394,592
130,-20,47347,Adam Schenk,4.04,3035,752
130,1,52666,Sami Valimaki,4.04,2167,536
130,1,52374,Brandon Wu,4.04,2399,594
140,1,34374,Erik Barnes,4.05,1809,447
140,-30,34310,Alexander Björk,4.05,1764,436
140,1,47988,Nick Hardy,4.05,2461,608
140,1,47420,Jake Knapp,4.05,2887,712
140,-9,49947,Taylor Moore,4.05,2950,728
140,1,34213,Grayson Murray,4.05,1764,436
140,1,23320,Ryan Palmer,4.05,1645,406
140,10,22405,Justin Rose,4.05,2439,602
140,1,48867,Matti Schmid,4.05,2122,524
140,1,38991,Alejandro Tosti,4.05,2137,528
150,0,59442,Parker Coody,4.06,2247,554
150,-9,57362,Austin Eckroat,4.06,2947,726
150,0,40098,Matt Fitzpatrick,4.06,2752,678
150,-9,31646,Emiliano Grillo,4.06,3021,744
150,0,60067,Joe Highsmith,4.06,1835,452
150,0,50493,Justin Suh,4.06,1998,492
150,0,55454,Carl Yuan,4.06,1978,487
157,1,33408,Tyson Alexander,4.07,2222,546
157,1,59866,Nick Dunlap,4.07,2377,584
157,-7,52453,Nicolai Højgaard,4.07,2355,578
157,1,27129,Luke List,4.07,2305,566
157,1,27770,Camilo Villegas,4.07,1780,437
162,1,52372,Cameron Champ,4.08,1543,378
162,1,45157,Cam Davis,4.08,2796,686
162,1,29936,Ryan Fox,4.08,2620,642
162,1,36326,David Lipsky,4.08,2065,506
166,2,37212,Paul Barjon,4.09,1613,394
