RANK(6),MOVEMENT(6),PLAYER_ID,PLAYER,AVG(6),TOTAL SG:APP(6),MEASURED ROUNDS(6)
132,-4,48867,Matti Schmid,-0.286,-11.165,39
133,9,48699,Callum Tarren,-0.295,-12.109,41
134,-9,32102,Rickie Fowler,-0.296,-16.558,56
135,1,34466,Peter Malnati,-0.302,-16.004,53
136,12,33408,Tyson Alexander,-0.309,-13.595,44
137,9,35506,Mackenzie Hughes,-0.316,-19.282,61
137,-1,49947,Taylor Moore,-0.316,-19.285,61
137,3,36699,Patrick Rodgers,-0.316,-18.953,60
140,-9,32791,K.H. Lee,-0.318,-13.045,41
141,-17,37378,Min Woo Lee,-0.326,-14.662,45
142,-8,54576,Patrick Fishburn,-0.328,-9.519,29
142,1,55893,Sam Stevens,-0.328,-18.063,55
144,5,51070,Vincent Norrman,-0.342,-14.348,42
145,2,51894,Vince Whaley,-0.352,-11.611,33
146,-2,52514,Trace Crowe,-0.368,-11.047,30
146,20,27770,Camilo Villegas,-0.368,-11.420,31
148,14,22371,Aaron Baddeley,-0.372,-15.985,43
149,3,28089,Jason Day,-0.374,-19.092,51
150,7,47663,Kevin Dougherty,-0.376,-13.144,35
150,6,50188,S.H. Kim,-0.376,-24.457,65
152,-7,55789,Taylor Montgomery,-0.380,-14.070,37
153,0,47995,Davis Riley,-0.386,-19.673,51
154,-5,55708,Hayden Buckley,-0.388,-18.222,47
155,0,47347,Adam Schenk,-0.393,-23.607,60
156,-7,50497,Adrien Dumont de Chassart,-0.402,-16.481,41
157,-16,47079,Harrison Endycott,-0.407,-9.775,24
158,0,29221,Webb Simpson,-0.409,-16.346,40
159,-5,54421,Garrick Higgo,-0.410,-18.027,44
160,-22,34374,Erik Barnes,-0.412,-14.003,34
161,0,59836,Pierceson Coody,-0.418,-17.157,41
162,-2,35461,Beau Hossler,-0.420,-23.110,55
163,-5,45609,Tyler Duncan,-0.421,-15.594,37
164,0,22405,Justin Rose,-0.427,-20.068,47
165,-2,59095,Chris Gotterup,-0.465,-21.400,46
166,-1,23320,Ryan Palmer,-0.475,-15.205,32
167,5,47983,Chad Ramey,-0.489,-21.016,43
168,0,23108,Matt Kuchar,-0.562,-24.736,44
169,-2,38991,Alejandro Tosti,-0.564,-24.795,44
170,-1,51600,Jimmy Stanger,-0.570,-14.826,26
171,-1,28420,Ryan Brehm,-0.618,-20.409,33
172,0,29478,Kevin Kisner,-0.702,-23.866,34
173,-2,50493,Justin Suh,-0.755,-29.435,39
174,0,48119,Ben Taylor,-0.865,-32.014,37
175,0,27649,Brandt Snedeker,-0.904,-35.242,39
176,-3,37212,Paul Barjon,-0.911,-26.420,29
177,0,52372,Cameron Champ,-1.046,-32.411,31
