RANK(9),MOVEMENT(9),PLAYER_ID,PLAYER,AVG(9),TOTAL SG:OTT(9),MEASURED ROUNDS(9)
1,0,47663,Kevin Dougherty,0.989,34.610,35
2,0,28237,Rory McIlroy,0.921,46.059,50
3,0,52372,Cameron Champ,0.883,27.360,31
4,-1,46046,Scottie Scheffler,0.838,41.882,50
5,-1,39546,Keith Mitchell,0.790,43.466,55
6,5,54576,Patrick Fishburn,0.702,20.360,29
7,-1,37378,Min Woo Lee,0.695,31.260,45
8,-3,27064,Jhonattan Vegas,0.694,22.897,33
9,-2,51696,Rico Hoey,0.655,25.541,39
10,-2,46717,Viktor Hovland,0.626,25.020,40
11,-2,45242,Kevin Yu,0.625,29.392,47
12,-2,48081,Xander Schauffele,0.600,31.780,53
13,-1,38991,Alejandro Tosti,0.597,26.251,44
14,0,52955,Ludvig Åberg,0.523,26.686,51
15,0,34046,Jordan Spieth,0.502,28.600,57
16,-3,50525,Collin Morikawa,0.495,26.246,53
17,0,51600,Jimmy Stanger,0.431,11.200,26
18,-2,33948,Byeong Hun An,0.429,23.186,54
19,-1,57366,Cameron Young,0.427,25.646,60
20,2,48117,Kurt Kitayama,0.408,21.211,52
21,2,55893,Sam Stevens,0.403,22.165,55
22,5,40006,Erik van Rooyen,0.402,21.696,54
23,3,51634,Sahith Theegala,0.401,24.448,61
24,-4,37455,Si Woo Kim,0.400,25.601,64
25,-2,46442,Maverick McNealy,0.395,21.717,55
26,-5,51766,Wyndham Clark,0.387,18.555,48
27,-8,39997,Corey Conners,0.375,24.729,66
28,6,55454,Carl Yuan,0.365,14.956,41
29,0,47504,Sam Burns,0.362,18.099,50
30,-5,39971,Sungjae Im,0.358,21.113,59
31,11,24502,Adam Scott,0.356,17.793,50
32,-2,36799,Stephan Jaeger,0.352,18.665,53
33,-1,34076,Joel Dahmen,0.351,17.199,49
34,3,57362,Austin Eckroat,0.343,19.527,57
34,-3,46414,Aaron Rai,0.343,20.238,59
36,5,52215,Robert MacIntyre,0.336,17.146,51
37,-9,50484,Hayden Springer,0.335,12.393,37
38,-3,49960,Sepp Straka,0.330,17.508,53
39,-1,32839,Hideki Matsuyama,0.329,16.798,51
40,-4,56630,Akshay Bhatia,0.328,20.019,61
41,-1,52375,Doug Ghim,0.327,15.700,48
42,-9,40026,Daniel Berger,0.314,11.629,37
43,-4,52513,Carson Young,0.305,14.926,49
44,-1,30926,Chris Kirk,0.288,14.404,50
45,0,51070,Vincent Norrman,0.280,11.777,42
46,0,33204,Shane Lowry,0.276,12.979,47
47,4,30911,Tommy Fleetwood,0.268,13.960,52
48,-4,48319,Tom Whitney,0.265,8.756,33
49,-1,36699,Patrick Rodgers,0.251,15.032,60
50,0,34255,Joseph Bramlett,0.246,12.075,49
51,3,34587,Chan Kim,0.245,11.509,47
52,3,47988,Nick Hardy,0.239,12.644,53
53,-4,45609,Tyler Duncan,0.227,8.386,37
54,3,58168,Davis Thompson,0.220,13.442,61
55,-3,47347,Adam Schenk,0.213,12.805,60
56,-3,46340,Alex Smalley,0.200,7.609,38
57,-1,34213,Grayson Murray,0.199,6.552,33
58,-11,49947,Taylor Moore,0.186,11.322,61
59,2,33141,Keegan Bradley,0.181,9.223,51
60,11,55182,Tom Kim,0.173,11.437,66
61,-1,29420,Billy Horschel,0.170,8.671,51
62,5,27349,Alex Noren,0.168,8.729,52
63,1,29725,Tony Finau,0.166,9.107,55
64,-6,52666,Sami Valimaki,0.163,7.341,45
65,14,35310,Lanto Griffin,0.161,6.270,39
65,-6,33448,Justin Thomas,0.161,7.087,44
67,6,52453,Nicolai Højgaard,0.159,6.840,43
68,-6,59095,Chris Gotterup,0.158,7.283,46
69,0,34099,Harris English,0.155,9.158,59
70,-7,23320,Ryan Palmer,0.153,4.895,32
71,6,47679,Victor Perez,0.150,7.366,49
72,5,33653,Thomas Detry,0.144,7.917,55
73,-1,52514,Trace Crowe,0.139,4.157,30
74,15,37212,Paul Barjon,0.137,3.967,29
