RANK(3),MOVEMENT(3),PLAYER_ID,PLAYER,AVG(3),TOTAL SG:ARG(3),MEASURED ROUNDS(3)
119,1,23320,Ryan Palmer,-0.086,-2.737,32
121,-6,55708,Hayden Buckley,-0.092,-4.337,47
122,0,27770,Camilo Villegas,-0.099,-3.071,31
123,9,52514,Trace Crowe,-0.105,-3.163,30
124,9,32757,Patton Kizzire,-0.108,-3.462,32
125,0,47483,Will Zalatoris,-0.116,-5.218,45
126,-7,39546,Keith Mitchell,-0.123,-6.786,55
127,0,47995,Davis Riley,-0.127,-6.477,51
128,-4,46113,Ryan McCormick,-0.130,-4.304,33
129,26,51696,Rico Hoey,-0.131,-5.115,39
130,-2,27139,David Skinns,-0.133,-5.733,43
131,11,52666,Sami Valimaki,-0.136,-6.141,45
132,-1,47079,Harrison Endycott,-0.137,-3.289,24
133,-21,40162,Justin Lower,-0.145,-8.397,58
134,3,54628,Lee Hodges,-0.153,-9.634,63
135,1,37275,Sam Ryder,-0.154,-6.923,45
136,-10,54421,Garrick Higgo,-0.156,-6.857,44
137,-3,51600,Jimmy Stanger,-0.170,-4.416,26
138,-8,36871,Matt NeSmith,-0.178,-8.029,45
139,-1,27064,Jhonattan Vegas,-0.180,-5.933,33
140,-1,59866,Nick Dunlap,-0.184,-8.834,48
141,9,48699,Callum Tarren,-0.185,-7.590,41
142,-1,34076,Joel Dahmen,-0.191,-9.336,49
143,-3,49960,Sepp Straka,-0.203,-10.775,53
144,16,59836,Pierceson Coody,-0.211,-8.633,41
144,-10,57362,Austin Eckroat,-0.211,-12.024,57
146,-2,47420,Jake Knapp,-0.214,-12.613,59
147,0,48867,Matti Schmid,-0.234,-9.134,39
148,-2,33653,Thomas Detry,-0.237,-13.023,55
149,-4,40006,Erik van Rooyen,-0.245,-13.239,54
150,-1,33413,Ben Martin,-0.255,-8.428,33
151,-3,50497,Adrien Dumont de Chassart,-0.263,-10.782,41
151,3,35532,Tom Hoge,-0.263,-17.589,67
153,-1,38991,Alejandro Tosti,-0.264,-11.595,44
154,-1,34310,Alexander Björk,-0.266,-9.323,35
155,-12,52513,Carson Young,-0.268,-13.113,49
156,3,29936,Ryan Fox,-0.290,-14.778,51
157,1,35310,Lanto Griffin,-0.303,-11.809,39
158,-3,51070,Vincent Norrman,-0.323,-13.561,42
159,-8,32070,Rafael Campos,-0.337,-9.764,29
160,4,46340,Alex Smalley,-0.338,-12.841,38
161,4,36884,Ben Kohles,-0.356,-17.110,48
162,0,27129,Luke List,-0.361,-16.969,47
163,-2,45242,Kevin Yu,-0.362,-17.010,47
164,-7,52453,Nicolai Højgaard,-0.368,-15.819,43
165,-2,54576,Patrick Fishburn,-0.374,-10.853,29
166,2,31323,Gary Woodland,-0.389,-19.075,49
167,2,47663,Kevin Dougherty,-0.423,-14.794,35
167,-1,48153,Matthieu Pavon,-0.423,-17.337,41
169,1,50493,Justin Suh,-0.465,-18.153,39
170,1,31646,Emiliano Grillo,-0.489,-29.842,61
171,1,47988,Nick Hardy,-0.507,-26.848,53
172,0,29478,Kevin Kisner,-0.510,-17.336,34
173,0,48319,Tom Whitney,-0.539,-17.793,33
174,-7,28420,Ryan Brehm,-0.567,-18.695,33
175,0,52372,Cameron Champ,-0.580,-17.990,31
176,-2,46717,Viktor Hovland,-0.645,-25.809,40
177,-2,37212,Paul Barjon,-0.932,-27.018,29
