RANK(8),MOVEMENT(8),PLAYER_ID,PLAYER,AVG(8),SG:OTT(8),SG:APR(8),SG:ARG(8),MEASURED ROUNDS(8)
91,-9,40098,Matt Fitzpatrick,0.079,0.090,-0.062,0.051,54
92,4,39324,J.J. Spaun,0.063,-0.251,0.356,-0.043,47
93,1,36699,Patrick Rodgers,0.039,0.251,-0.316,0.105,60
94,-4,57900,Chandler Phillips,0.038,-0.234,0.293,-0.021,50
95,0,47420,Jake Knapp,0.036,0.010,0.239,-0.214,59
96,2,49771,J.T. Poston,0.028,-0.033,-0.140,0.201,58
97,33,40058,Zac Blair,0.001,-0.277,0.028,0.249,49
98,6,54576,Patrick Fishburn,0.000,0.702,-0.328,-0.374,29
99,3,28089,Jason Day,-0.022,0.128,-0.374,0.223,51
100,21,36326,David Lipsky,-0.023,-0.313,0.219,0.071,42
101,17,35310,Lanto Griffin,-0.027,0.161,0.115,-0.303,39
102,-9,47993,Denny McCarthy,-0.036,-0.331,-0.082,0.377,64
103,7,54628,Lee Hodges,-0.045,-0.215,0.322,-0.153,63
104,-3,59442,Parker Coody,-0.066,-0.150,0.157,-0.073,43
105,0,34563,Chesson Hadley,-0.069,0.073,-0.091,-0.051,43
106,-15,49947,Taylor Moore,-0.071,0.186,-0.316,0.059,61
106,-6,48153,Matthieu Pavon,-0.071,0.005,0.347,-0.423,41
108,9,34099,Harris English,-0.078,0.155,-0.233,0.000,59
109,0,39975,Michael Kim,-0.082,-0.316,0.168,0.066,45
110,-3,59095,Chris Gotterup,-0.088,0.158,-0.465,0.219,46
111,-23,27214,Kevin Streelman,-0.100,-0.129,0.047,-0.018,38
112,1,35461,Beau Hossler,-0.118,-0.044,-0.420,0.347,55
113,1,24024,Zach Johnson,-0.121,-0.136,-0.018,0.032,32
114,-6,60004,Jacob Bridgeman,-0.135,-0.436,0.173,0.129,37
115,-12,32791,K.H. Lee,-0.145,0.038,-0.318,0.136,41
116,-10,46441,Robby Shelton,-0.146,-0.563,0.060,0.357,51
117,-5,47591,Eric Cole,-0.149,-0.302,0.013,0.139,69
118,-3,33486,Roger Sloan,-0.152,-0.475,0.019,0.304,33
119,5,60067,Joe Highsmith,-0.154,-0.112,-0.166,0.124,33
120,5,37275,Sam Ryder,-0.175,-0.358,0.336,-0.154,45
121,16,47988,Nick Hardy,-0.182,0.239,0.086,-0.507,53
122,-6,45609,Tyler Duncan,-0.183,0.227,-0.421,0.011,37
123,-1,33968,Thorbjørn Olesen,-0.185,-0.354,-0.049,0.218,38
124,-13,40162,Justin Lower,-0.190,-0.207,0.162,-0.145,58
125,17,45157,Cam Davis,-0.204,-0.140,-0.063,0.000,56
126,5,33653,Thomas Detry,-0.211,0.144,-0.119,-0.237,55
127,9,29936,Ryan Fox,-0.216,0.040,0.033,-0.290,51
128,-5,31646,Emiliano Grillo,-0.218,0.014,0.257,-0.489,61
128,-9,35506,Mackenzie Hughes,-0.218,-0.221,-0.316,0.319,61
130,3,48319,Tom Whitney,-0.221,0.265,0.053,-0.539,33
131,-11,38991,Alejandro Tosti,-0.230,0.597,-0.564,-0.264,44
132,-6,47347,Adam Schenk,-0.257,0.213,-0.393,-0.077,60
133,8,52374,Brandon Wu,-0.263,-0.362,-0.031,0.129,44
134,-6,27936,Martin Laird,-0.271,-0.396,-0.273,0.398,39
135,-3,27129,Luke List,-0.276,0.067,0.018,-0.361,47
136,-2,34256,Andrew Putnam,-0.295,-0.568,0.035,0.239,56
137,-2,51600,Jimmy Stanger,-0.309,0.431,-0.570,-0.170,26
138,1,50188,S.H. Kim,-0.324,-0.185,-0.376,0.237,65
139,5,51349,Nico Echavarria,-0.334,-0.086,-0.235,-0.013,49
140,0,52514,Trace Crowe,-0.335,0.139,-0.368,-0.105,30
141,8,36871,Matt NeSmith,-0.339,-0.051,-0.110,-0.178,45
142,-4,30927,Brendon Todd,-0.348,-0.490,-0.175,0.317,70
143,-14,55708,Hayden Buckley,-0.371,0.109,-0.388,-0.092,47
144,2,51070,Vincent Norrman,-0.384,0.280,-0.342,-0.323,42
145,3,46340,Alex Smalley,-0.386,0.200,-0.248,-0.338,38
146,-3,59866,Nick Dunlap,-0.393,-0.257,0.048,-0.184,48
147,-2,23320,Ryan Palmer,-0.408,0.153,-0.475,-0.086,32
148,-1,48867,Matti Schmid,-0.420,0.100,-0.286,-0.234,39
