RANK(0),MOVEMENT(14),PLAYER_ID,PLAYER,AVG(0),TOTAL STROKES(0),TOTAL ADJUSTMENT(0),TOTAL ROUNDS(0)
108,-6,49947,Taylor Moore,71.225,4730,42.071,67
109,17,35310,Lanto Griffin,71.234,3362,57.233,48
109,0,34256,Andrew Putnam,71.234,4282,63.278,61
111,-2,40115,Adam Svensson,71.237,5299,43.757,75
112,0,48867,Matti Schmid,71.239,3589,44.209,51
113,-9,34310,Alexander Björk,71.244,2814,35.769,40
114,-5,34076,Joel Dahmen,71.258,4278,68.761,61
115,-22,59442,Parker Coody,71.263,3727,49.947,53
116,-10,32757,Patton Kizzire,71.265,2861,60.873,41
117,-4,59095,Chris Gotterup,71.308,3797,53.625,54
118,7,37275,Sam Ryder,71.320,3861,61.585,55
119,12,26596,Ryan Moore,71.326,3736,44.295,53
120,18,52453,Nicolai Højgaard,71.331,3625,12.896,51
121,-1,59866,Nick Dunlap,71.339,3885,38.643,55
122,-6,52514,Trace Crowe,71.348,2804,49.938,40
123,1,31646,Emiliano Grillo,71.350,4602,35.723,65
124,-3,39324,J.J. Spaun,71.351,3451,45.184,49
125,-2,23108,Matt Kuchar,71.354,3418,6.975,48
126,13,26476,Chez Reavie,71.358,3378,47.186,48
127,-13,22371,Aaron Baddeley,71.367,3587,52.735,51
128,-1,34213,Grayson Murray,71.374,2903,23.341,41
129,13,54576,Patrick Fishburn,71.386,2875,51.838,41
130,-2,51600,Jimmy Stanger,71.391,2737,47.247,39
131,1,47663,Kevin Dougherty,71.405,3019,51.407,43
131,13,36884,Ben Kohles,71.405,4160,52.876,59
133,9,52374,Brandon Wu,71.409,3945,53.908,56
134,-12,55789,Taylor Montgomery,71.415,3024,46.824,43
135,-2,47420,Jake Knapp,71.419,4731,54.091,67
136,9,54628,Lee Hodges,71.439,4939,61.729,70
137,13,45157,Cam Davis,71.442,4528,44.257,64
138,-3,47983,Chad Ramey,71.451,3595,49.018,51
139,-9,51894,Vince Whaley,71.482,3230,58.191,46
140,-11,27214,Kevin Streelman,71.502,3239,50.079,46
141,-4,34466,Peter Malnati,71.503,4261,29.174,60
142,-6,51349,Nico Echavarria,71.504,4355,78.248,62
143,-9,45609,Tyler Duncan,71.505,3383,49.258,48
144,11,36871,Matt NeSmith,71.509,3803,58.509,54
145,-4,47347,Adam Schenk,71.536,4874,61.950,69
146,0,27129,Luke List,71.539,3746,45.573,53
147,-30,32070,Rafael Campos,71.557,2682,37.148,38
148,-8,38991,Alejandro Tosti,71.582,3534,45.121,50
149,-1,60067,Joe Highsmith,71.625,3104,47.484,44
150,2,22405,Justin Rose,71.640,3615,38.653,51
151,-2,23320,Ryan Palmer,71.649,2754,40.311,39
152,4,31323,Gary Woodland,71.651,3712,13.874,52
153,-6,54421,Garrick Higgo,71.664,3806,63.834,54
154,-3,47988,Nick Hardy,71.695,4027,59.611,57
155,0,52372,Cameron Champ,71.702,2615,37.983,37
156,-2,33486,Roger Sloan,71.707,3029,54.390,43
157,-4,55708,Hayden Buckley,71.719,3814,58.839,54
158,3,46340,Alex Smalley,71.814,3388,59.056,48
159,0,50493,Justin Suh,71.873,3328,50.024,47
160,3,46113,Ryan McCormick,71.885,3033,58.068,43
161,-1,33408,Tyson Alexander,71.895,3688,50.543,52
162,-5,55454,Carl Yuan,71.952,3337,44.750,47
163,-5,47079,Harrison Endycott,71.987,2616,47.517,37
164,-2,50497,Adrien Dumont de Chassart,71.993,3749,66.629,53
165,0,47995,Davis Riley,71.995,3957,74.728,56
166,-2,32102,Rickie Fowler,72.022,4557,52.390,64
167,1,36326,David Lipsky,72.062,3413,45.999,48
168,-1,48319,Tom Whitney,72.075,3198,45.356,45
169,0,48699,Callum Tarren,72.121,3492,41.931,49
170,-4,34374,Erik Barnes,72.282,3057,51.107,43
171,-1,51070,Vincent Norrman,72.390,3080,32.757,43
172,3,48119,Ben Taylor,72.753,2943,39.864,41
173,-2,28420,Ryan Brehm,72.937,3094,42.289,43
174,-1,27649,Brandt Snedeker,72.962,3240,43.302,45
175,-3,37212,Paul Barjon,72.973,2727,45.978,38
176,0,29478,Kevin Kisner,73.096,2813,37.725,39
177,-3,27770,Camilo Villegas,73.114,2950,47.683,41
