RANK(10),MOVEMENT(10),PLAYER_ID,PLAYER,AVG(10),TOTAL DISTANCE(10),TOTAL DRIVES(10)
124,-3,52374,Brandon Wu,295.4,31022,105
126,-3,54591,Ben Griffin,295.2,43692,148
127,2,52513,Carson Young,294.9,30673,104
128,-2,33413,Ben Martin,294.5,24735,84
129,2,54628,Lee Hodges,294.4,39450,134
130,-1,27214,Kevin Streelman,294.3,25012,85
131,-4,50525,Collin Morikawa,294.1,34704,118
132,3,45609,Tyler Duncan,293.7,25551,87
132,0,51349,Nico Echavarria,293.7,34066,116
132,-4,57900,Chandler Phillips,293.7,31134,106
135,-2,35532,Tom Hoge,293.4,40486,138
135,2,37455,Si Woo Kim,293.4,40489,138
135,0,27349,Alex Noren,293.4,33448,114
138,-4,36801,Mark Hubbard,293.3,40474,138
138,1,46414,Aaron Rai,293.3,38710,132
140,1,54783,Dylan Wu,293.1,31654,108
141,1,34076,Joel Dahmen,292.9,33977,116
141,-3,29908,C.T. Pan,292.9,25188,86
143,0,47983,Chad Ramey,292.8,28104,96
144,2,32640,Troy Merritt,292.7,31614,108
144,-4,49960,Sepp Straka,292.7,34537,118
146,-3,51890,Greyson Sigg,292.2,30387,104
147,7,39327,Ben Silverman,291.8,35015,120
148,0,27644,Brian Harman,291.6,39073,134
149,-6,55789,Taylor Montgomery,291.5,22735,78
150,-1,46441,Robby Shelton,291.3,30293,104
151,-2,52375,Doug Ghim,291.1,30860,106
151,1,33486,Roger Sloan,291.1,23291,80
153,-7,28775,Nate Lashley,291.0,24448,84
153,6,37275,Sam Ryder,291.0,29680,102
155,-6,31646,Emiliano Grillo,290.9,37815,130
156,-3,25493,Nick Taylor,290.7,34306,118
157,-2,47993,Denny McCarthy,289.7,39982,138
157,-2,49771,J.T. Poston,289.7,36498,126
159,2,47079,Harrison Endycott,289.4,18812,65
160,-3,45522,Christiaan Bezuidenhout,289.0,33525,116
161,-3,27936,Martin Laird,288.8,25125,87
162,-2,34098,Russell Henley,288.4,32877,114
163,0,36326,David Lipsky,288.3,25945,90
164,2,26596,Ryan Moore,288.1,28805,100
165,-1,36884,Ben Kohles,287.8,31658,110
166,-4,25900,Lucas Glover,287.5,37369,130
167,-2,23108,Matt Kuchar,286.3,25767,90
168,-1,26476,Chez Reavie,286.2,25183,88
169,0,29478,Kevin Kisner,285.3,20538,72
170,-1,24024,Zach Johnson,283.5,19276,68
171,-3,27770,Camilo Villegas,282.5,20908,74
172,-1,22371,Aaron Baddeley,282.1,27077,96
173,-1,27649,Brandt Snedeker,281.9,23677,84
174,-4,34256,Andrew Putnam,281.6,32099,114
175,-1,40058,Zac Blair,279.7,27967,100
176,-3,30927,Brendon Todd,279.0,39614,142
177,-2,34310,Alexander Björk,275.7,19853,72
