RANK(13),MOVEMENT(13),PLAYER_ID,PLAYER,AVG(13),TOTAL STROKES(13),TOTAL ROUNDS(13)
126,-9,45609,Tyler Duncan,70.48,3383,48
126,-5,57362,Austin Eckroat,70.48,4511,64
126,-8,54421,Garrick Higgo,70.48,3806,54
129,12,26596,Ryan Moore,70.49,3736,53
129,1,47983,Chad Ramey,70.49,3595,51
131,7,36884,Ben Kohles,70.51,4160,59
132,-7,39977,Max Homa,70.52,4302,61
133,16,46113,Ryan McCormick,70.53,3033,43
134,-7,60067,Joe Highsmith,70.55,3104,44
135,8,54628,Lee Hodges,70.56,4939,70
136,-22,32070,Rafael Campos,70.58,2682,38
136,15,46340,Alex Smalley,70.58,3388,48
138,-14,49947,Taylor Moore,70.60,4730,67
139,-10,47420,Jake Knapp,70.61,4731,67
140,-1,23320,Ryan Palmer,70.62,2754,39
141,-2,55708,Hayden Buckley,70.63,3814,54
141,-11,47483,Will Zalatoris,70.63,3814,54
143,-11,59866,Nick Dunlap,70.64,3885,55
143,11,29936,Ryan Fox,70.64,3956,56
143,-11,47347,Adam Schenk,70.64,4874,69
146,-3,47988,Nick Hardy,70.65,4027,57
146,-12,40115,Adam Svensson,70.65,5299,75
148,-14,47995,Davis Riley,70.66,3957,56
149,0,52372,Cameron Champ,70.68,2615,37
149,-2,27129,Luke List,70.68,3746,53
149,-4,38991,Alejandro Tosti,70.68,3534,50
152,-27,47079,Harrison Endycott,70.70,2616,37
153,-6,50497,Adrien Dumont de Chassart,70.74,3749,53
154,7,45157,Cam Davis,70.75,4528,64
155,0,31646,Emiliano Grillo,70.80,4602,65
155,-3,34213,Grayson Murray,70.80,2903,41
155,-3,29221,Webb Simpson,70.80,2903,41
158,-2,50493,Justin Suh,70.81,3328,47
159,-2,22405,Justin Rose,70.88,3615,51
160,0,33408,Tyson Alexander,70.92,3688,52
161,-3,55454,Carl Yuan,71.00,3337,47
162,0,34466,Peter Malnati,71.02,4261,60
163,1,48319,Tom Whitney,71.07,3198,45
164,3,52453,Nicolai Højgaard,71.08,3625,51
165,-7,34374,Erik Barnes,71.09,3057,43
166,0,36326,David Lipsky,71.10,3413,48
167,-4,32102,Rickie Fowler,71.20,4557,64
168,-3,23108,Matt Kuchar,71.21,3418,48
169,0,48699,Callum Tarren,71.27,3492,49
170,-2,31323,Gary Woodland,71.38,3712,52
171,-1,51070,Vincent Norrman,71.63,3080,43
172,-1,37212,Paul Barjon,71.76,2727,38
173,2,48119,Ben Taylor,71.78,2943,41
174,-2,28420,Ryan Brehm,71.95,3094,43
174,-1,27770,Camilo Villegas,71.95,2950,41
176,-2,27649,Brandt Snedeker,72.00,3240,45
177,0,29478,Kevin Kisner,72.13,2813,39
