RANK(5),MOVEMENT(5),PLAYER_ID,PLAYER,AVG DTP(5),TOTAL DISTANCE (FEET)(5),# OF SHOTS(5),SCRAMBLING RANK(5)
97,-3,29908,C.T. Pan,7' 8",2082.000,272,57
97,-3,27139,David Skinns,7' 8",2023.500,265,132
97,35,48699,Callum Tarren,7' 8",2096.167,272,171
97,7,38991,Alejandro Tosti,7' 8",2194.000,285,174
97,17,52374,Brandon Wu,7' 8",2047.583,267,141
109,-15,34374,Erik Barnes,7' 9",1635.917,210,126
109,-5,34255,Joseph Bramlett,7' 9",2399.250,310,56
109,-28,34076,Joel Dahmen,7' 9",2150.250,278,80
109,14,47663,Kevin Dougherty,7' 9",1781.000,229,116
109,-5,34099,Harris English,7' 9",3231.500,415,46
109,23,36326,David Lipsky,7' 9",1950.083,252,155
109,-5,27129,Luke List,7' 9",2267.250,291,146
109,-5,47347,Adam Schenk,7' 9",3134.583,403,89
109,14,50484,Hayden Springer,7' 9",2025.500,260,99
109,5,27770,Camilo Villegas,7' 9",1470.500,189,175
109,5,52513,Carson Young,7' 9",2214.167,287,117
120,3,28420,Ryan Brehm,7' 10",1802.000,230,157
120,-6,47504,Sam Burns,7' 10",2569.000,328,48
120,12,45157,Cam Davis,7' 10",2932.000,375,121
120,12,51349,Nico Echavarria,7' 10",2454.333,312,149
120,12,35310,Lanto Griffin,7' 10",1739.417,222,166
120,-6,47420,Jake Knapp,7' 10",2822.250,362,144
120,-6,37275,Sam Ryder,7' 10",2259.833,290,156
120,3,34046,Jordan Spieth,7' 10",2929.917,374,158
120,-26,48887,Matt Wallace,7' 10",2204.583,282,42
129,-15,33653,Thomas Detry,7' 11",2889.417,366,73
129,14,50497,Adrien Dumont de Chassart,7' 11",1930.333,245,169
129,0,29478,Kevin Kisner,7' 11",1773.333,223,150
129,-6,34466,Peter Malnati,7' 11",2837.750,358,104
129,-35,49947,Taylor Moore,7' 11",3311.250,420,86
129,-25,48867,Matti Schmid,7' 11",2134.917,271,131
129,-25,24502,Adam Scott,7' 11",2681.000,339,81
129,3,52666,Sami Valimaki,7' 11",2112.917,268,134
129,-6,57366,Cameron Young,7' 11",3071.833,390,119
138,-6,59866,Nick Dunlap,8' 0",2718.917,341,172
138,-15,30911,Tommy Fleetwood,8' 0",2850.000,355,9
138,-6,47995,Davis Riley,8' 0",2712.000,339,139
138,7,51894,Vince Whaley,8' 0",1901.500,238,66
142,1,34310,Alexander Björk,8' 1",1922.833,239,21
142,7,32070,Rafael Campos,8' 1",1343.333,167,136
142,13,59836,Pierceson Coody,8' 1",2156.417,268,112
142,-19,33399,Adam Hadwin,8' 1",2824.500,351,114
142,-10,36884,Ben Kohles,8' 1",2438.250,303,137
142,3,51890,Greyson Sigg,8' 1",2374.417,295,31
148,1,54628,Lee Hodges,8' 2",3326.250,409,54
148,-16,40162,Justin Lower,8' 2",2705.250,331,107
148,-3,40250,Taylor Pendrith,8' 2",2890.917,354,68
148,1,51634,Sahith Theegala,8' 2",3131.750,383,64
152,3,33408,Tyson Alexander,8' 3",2444.667,295,123
152,-3,33141,Keegan Bradley,8' 3",2618.167,318,161
152,-3,51600,Jimmy Stanger,8' 3",1504.583,182,108
152,-3,45242,Kevin Yu,8' 3",2095.833,253,96
156,-24,40006,Erik van Rooyen,8' 4",2679.500,323,122
157,-12,40026,Daniel Berger,8' 5",1910.083,227,165
157,-2,54421,Garrick Higgo,8' 5",2291.750,273,119
157,2,49960,Sepp Straka,8' 5",2750.250,326,83
157,-2,27064,Jhonattan Vegas,8' 5",1670.083,198,145
161,2,51977,Max Greyserman,8' 6",2417.750,284,90
162,-1,57362,Austin Eckroat,8' 7",3161.250,370,162
162,-1,46717,Viktor Hovland,8' 7",2187.833,255,168
162,-3,48319,Tom Whitney,8' 7",1771.833,207,163
165,-2,54576,Patrick Fishburn,8' 8",1588.167,183,19
165,-2,31646,Emiliano Grillo,8' 8",3396.417,392,147
167,-1,48153,Matthieu Pavon,8' 9",2102.750,241,130
168,0,29936,Ryan Fox,8' 10",2895.417,329,167
168,-1,47988,Nick Hardy,8' 10",2683.667,305,124
168,2,27649,Brandt Snedeker,8' 10",2367.750,269,159
171,-3,36871,Matt NeSmith,8' 11",2363.417,265,127
172,-2,52453,Nicolai Højgaard,9' 0",2339.083,260,152
173,-1,50493,Justin Suh,9' 2",1999.417,218,173
174,0,52372,Cameron Champ,9' 3",1903.000,206,150
174,-2,51070,Vincent Norrman,9' 3",2459.917,267,170
176,-2,31323,Gary Woodland,9' 4",3070.750,328,177
177,-2,37212,Paul Barjon,9' 6",1750.500,185,176
