RANK(1),MOVEMENT(1),PLAYER_ID,PLAYER,AVG(1),TOTAL SG:PUTTING(1),MEASURED ROUNDS(1)
126,-16,51349,Nico Echavarria,-0.172,-8.416,49
127,2,34374,Erik Barnes,-0.174,-5.914,34
127,-8,52375,Doug Ghim,-0.174,-8.369,48
129,-26,31323,Gary Woodland,-0.178,-8.746,49
130,-11,34255,Joseph Bramlett,-0.180,-8.822,49
131,-4,29725,Tony Finau,-0.197,-10.828,55
132,6,39997,Corey Conners,-0.199,-13.157,66
133,3,27649,Brandt Snedeker,-0.206,-8.032,39
134,-3,37212,Paul Barjon,-0.222,-6.428,29
135,-7,57366,Cameron Young,-0.224,-13.459,60
136,-14,32839,Hideki Matsuyama,-0.230,-11.749,51
137,-12,45157,Cam Davis,-0.235,-13.174,56
138,-8,32070,Rafael Campos,-0.243,-7.059,29
139,-4,12716,Charley Hoffman,-0.252,-9.815,39
140,-8,32367,Jorge Campillo,-0.254,-9.640,38
141,-9,50497,Adrien Dumont de Chassart,-0.268,-10.970,41
142,6,27214,Kevin Streelman,-0.281,-10.688,38
143,-2,57362,Austin Eckroat,-0.288,-16.440,57
143,-1,47483,Will Zalatoris,-0.288,-12.966,45
145,-11,52453,Nicolai Højgaard,-0.302,-12.983,43
146,-1,23320,Ryan Palmer,-0.304,-9.727,32
147,-4,45609,Tyler Duncan,-0.324,-11.992,37
148,-8,28420,Ryan Brehm,-0.327,-10.776,33
149,1,25900,Lucas Glover,-0.346,-20.754,60
150,-1,37455,Si Woo Kim,-0.355,-22.741,64
151,2,48117,Kurt Kitayama,-0.378,-19.650,52
152,0,38991,Alejandro Tosti,-0.380,-16.719,44
153,-7,32757,Patton Kizzire,-0.383,-12.248,32
154,3,33448,Justin Thomas,-0.399,-17.537,44
155,1,34587,Chan Kim,-0.400,-18.796,47
156,-17,47079,Harrison Endycott,-0.415,-9.966,24
157,-3,30926,Chris Kirk,-0.427,-21.360,50
158,3,51696,Rico Hoey,-0.444,-17.327,39
159,-8,39546,Keith Mitchell,-0.445,-24.460,55
160,-5,29221,Webb Simpson,-0.448,-17.915,40
161,4,26476,Chez Reavie,-0.455,-17.758,39
162,-4,51600,Jimmy Stanger,-0.456,-11.866,26
163,1,48699,Callum Tarren,-0.473,-19.392,41
164,6,46340,Alex Smalley,-0.509,-19.357,38
165,-6,45242,Kevin Yu,-0.511,-23.998,47
166,5,26596,Ryan Moore,-0.533,-26.093,49
167,1,34076,Joel Dahmen,-0.548,-26.846,49
168,-6,48319,Tom Whitney,-0.554,-18.274,33
169,-2,40115,Adam Svensson,-0.608,-44.367,73
170,-4,27770,Camilo Villegas,-0.616,-19.082,31
171,-11,51890,Greyson Sigg,-0.621,-29.182,47
172,-9,60067,Joe Highsmith,-0.626,-20.669,33
173,-4,27064,Jhonattan Vegas,-0.636,-20.997,33
174,-2,36326,David Lipsky,-0.712,-29.918,42
175,-2,40026,Daniel Berger,-0.722,-26.705,37
176,-2,55454,Carl Yuan,-0.774,-31.738,41
177,-2,51070,Vincent Norrman,-0.960,-40.326,42
