RANK(7),MOVEMENT(7),PLAYER_ID,PLAYER,%(7),GREENS HIT(7),# HOLES(7),RELATIVE/PAR(7)
151,-7,35450,Patrick Cantlay,63.38%,559,882,-0.34
152,-5,46441,Robby Shelton,63.25%,592,936,-0.30
153,-3,57900,Chandler Phillips,63.10%,602,954,-0.32
153,-2,51894,Vince Whaley,63.10%,477,756,-0.30
155,3,25493,Nick Taylor,62.90%,668,1062,-0.28
156,-3,59866,Nick Dunlap,62.75%,576,918,-0.33
157,-1,45522,Christiaan Bezuidenhout,62.74%,655,1044,-0.31
158,6,31323,Gary Woodland,62.71%,587,936,-0.29
159,-4,28420,Ryan Brehm,62.64%,451,720,-0.25
160,2,37212,Paul Barjon,62.58%,383,612,-0.26
161,-1,55454,Carl Yuan,62.50%,495,792,-0.26
162,-5,34213,Grayson Murray,62.43%,427,684,-0.32
163,7,27649,Brandt Snedeker,62.17%,470,756,-0.22
164,4,22371,Aaron Baddeley,62.15%,537,864,-0.29
165,0,22405,Justin Rose,62.09%,570,918,-0.30
166,-7,33408,Tyson Alexander,62.02%,547,882,-0.32
167,2,35506,Mackenzie Hughes,61.90%,702,1134,-0.33
168,-5,34310,Alexander Björk,61.42%,398,648,-0.26
169,-3,29221,Webb Simpson,61.38%,453,738,-0.27
170,-9,47993,Denny McCarthy,61.35%,762,1242,-0.32
171,-4,47591,Eric Cole,61.33%,828,1350,-0.33
172,0,50188,S.H. Kim,61.04%,802,1314,-0.35
173,-2,34466,Peter Malnati,60.82%,624,1026,-0.28
174,0,29478,Kevin Kisner,60.49%,392,648,-0.23
175,-3,55789,Taylor Montgomery,60.40%,424,702,-0.31
176,-1,48119,Ben Taylor,60.38%,413,684,-0.26
177,-3,23108,Matt Kuchar,59.51%,482,810,-0.25
