RANK(12),MOVEMENT(12),PLAYER_ID,PLAYER,AVG(12),TOTAL SG:T(12),TOTAL SG:T2G(12),TOTAL SG:P(12),MEASURED ROUNDS(12)
111,8,39324,J.J. Spaun,-0.058,-2.713,2.950,-5.664,47
112,3,12716,Charley Hoffman,-0.069,-2.682,7.132,-9.815,39
113,12,37275,Sam Ryder,-0.071,-3.201,-7.867,4.666,45
114,-2,27936,Martin Laird,-0.080,-3.109,-10.554,7.445,39
115,-12,47483,Will Zalatoris,-0.082,-3.684,9.282,-12.966,45
116,-17,32791,K.H. Lee,-0.091,-3.748,-5.930,2.181,41
117,0,40115,Adam Svensson,-0.108,-7.885,36.482,-44.367,73
118,-12,59095,Chris Gotterup,-0.114,-5.262,-4.027,-1.235,46
119,-1,46441,Robby Shelton,-0.124,-6.303,-7.452,1.147,51
120,-6,22371,Aaron Baddeley,-0.127,-5.476,-31.698,26.220,43
121,-5,31646,Emiliano Grillo,-0.136,-8.276,-13.316,5.040,61
122,0,54628,Lee Hodges,-0.146,-9.214,-2.847,-6.366,63
123,4,52453,Nicolai Højgaard,-0.156,-6.720,6.263,-12.983,43
124,-14,51890,Greyson Sigg,-0.163,-7.668,21.512,-29.182,47
125,-4,29221,Webb Simpson,-0.175,-6.998,10.916,-17.915,40
126,19,35310,Lanto Griffin,-0.195,-7.611,-1.035,-6.576,39
127,-3,52514,Trace Crowe,-0.213,-6.380,-10.053,3.672,30
128,-2,47347,Adam Schenk,-0.214,-12.814,-15.397,2.582,60
129,-16,59442,Parker Coody,-0.220,-9.457,-2.845,-6.614,43
130,11,46113,Ryan McCormick,-0.244,-8.045,-20.855,12.808,33
131,17,26476,Chez Reavie,-0.245,-9.569,8.187,-17.758,39
132,-23,55789,Taylor Montgomery,-0.253,-9.343,-40.504,31.161,37
133,17,52374,Brandon Wu,-0.280,-12.301,-11.590,-.713,44
134,-5,23108,Matt Kuchar,-0.284,-12.500,-32.386,19.884,44
135,-7,48867,Matti Schmid,-0.312,-12.168,-16.381,4.211,39
136,4,47983,Chad Ramey,-0.328,-14.110,-29.110,14.997,43
137,-2,59866,Nick Dunlap,-0.333,-15.962,-18.885,2.924,48
138,-5,55708,Hayden Buckley,-0.336,-15.797,-17.454,1.656,47
139,-3,47988,Nick Hardy,-0.352,-18.634,-9.633,-9.003,53
140,-3,27129,Luke List,-0.362,-16.993,-12.953,-4.042,47
141,-2,34466,Peter Malnati,-0.373,-19.752,-44.643,24.891,53
142,-12,27214,Kevin Streelman,-0.381,-14.469,-3.782,-10.688,38
143,-5,33408,Tyson Alexander,-0.388,-17.058,-37.209,20.149,44
144,-12,34310,Alexander Björk,-0.427,-14.942,-36.135,21.192,35
145,0,52372,Cameron Champ,-0.429,-13.307,-23.039,9.730,31
146,7,45157,Cam Davis,-0.439,-24.578,-11.404,-13.174,56
147,4,36884,Ben Kohles,-0.468,-22.473,-23.197,.722,48
148,14,36871,Matt NeSmith,-0.490,-22.050,-15.250,-6.800,45
149,-6,51349,Nico Echavarria,-0.506,-24.800,-16.387,-8.416,49
150,-7,45609,Tyler Duncan,-0.508,-18.780,-6.788,-11.992,37
151,-4,22405,Justin Rose,-0.557,-26.195,-27.144,.949,47
152,0,54421,Garrick Higgo,-0.569,-25.057,-33.593,8.535,44
153,-5,51894,Vince Whaley,-0.586,-19.343,-23.792,4.447,33
153,-11,55454,Carl Yuan,-0.586,-24.040,7.695,-31.738,41
155,-1,38991,Alejandro Tosti,-0.610,-26.856,-10.137,-16.719,44
156,0,31323,Gary Woodland,-0.687,-33.685,-24.939,-8.746,49
157,-2,32102,Rickie Fowler,-0.689,-38.610,-36.219,-2.390,56
158,0,23320,Ryan Palmer,-0.712,-22.770,-13.046,-9.727,32
159,5,36326,David Lipsky,-0.735,-30.873,-.957,-29.918,42
160,-14,32070,Rafael Campos,-0.738,-21.404,-14.348,-7.059,29
161,-1,50493,Justin Suh,-0.758,-29.571,-54.510,24.937,39
162,-5,47995,Davis Riley,-0.765,-39.033,-47.888,8.855,51
162,-3,51600,Jimmy Stanger,-0.765,-19.893,-8.029,-11.866,26
164,-1,48319,Tom Whitney,-0.774,-25.557,-7.285,-18.274,33
165,-4,60067,Joe Highsmith,-0.780,-25.749,-5.082,-20.669,33
166,-1,46340,Alex Smalley,-0.895,-34.027,-14.672,-19.357,38
167,3,48699,Callum Tarren,-1.127,-46.189,-26.799,-19.392,41
168,-2,47079,Harrison Endycott,-1.309,-31.414,-21.449,-9.966,24
169,-1,51070,Vincent Norrman,-1.344,-56.454,-16.130,-40.326,42
170,-3,50497,Adrien Dumont de Chassart,-1.363,-55.900,-44.930,-10.970,41
171,1,48119,Ben Taylor,-1.410,-52.154,-55.746,3.589,37
172,-3,28420,Ryan Brehm,-1.501,-49.520,-38.746,-10.776,33
173,-2,34374,Erik Barnes,-1.717,-58.364,-52.451,-5.914,34
174,-1,27649,Brandt Snedeker,-1.732,-67.536,-59.507,-8.032,39
175,0,29478,Kevin Kisner,-1.882,-64.003,-70.290,6.285,34
176,-2,37212,Paul Barjon,-1.927,-55.897,-49.471,-6.428,29
177,-2,27770,Camilo Villegas,-2.146,-66.534,-47.455,-19.082,31
