# HOLES(7),# OF HOLES,# OF PUTTS,# OF SHOTS(5),%(11),%(4),%(7),AVG,AVG DTP(5),AVG(0),AVG(1),AVG(10),AVG(12),AVG(13),AVG(2),AVG(3),AVG(6),AVG(8),AVG(9),BIRDIE CONVERSION,FAIRWAYS HIT(11),GIR PUTTS,GREENS HIT,GREENS HIT(7),LOW TOTAL PUTTS,MEASURED ROUNDS(1),MEASURED ROUNDS(12),MEASURED ROUNDS(2),MEASURED ROUNDS(3),MEASURED ROUNDS(6),MEASURED ROUNDS(8),MEASURED ROUNDS(9),MISSED GIR(4),MOVEMENT,MOVEMENT(1),MOVEMENT(10),MOVEMENT(11),MOVEMENT(12),MOVEMENT(13),MOVEMENT(14),MOVEMENT(2),MOVEMENT(3),MOVEMENT(4),MOVEMENT(5),MOVEMENT(6),MOVEMENT(7),MOVEMENT(8),MOVEMENT(9),PAR OR BETTER(4),PLAYER,PLAYER_ID,POSSIBLE FAIRWAYS(11),RANK,RANK(0),RANK(1),RANK(10),RANK(11),RANK(12),RANK(13),RANK(2),RANK(3),RANK(4),RANK(5),RANK(6),RANK(7),RANK(8),RANK(9),RELATIVE/PAR(7),SCRAMBLING RANK(5),SG:APR(8),SG:ARG(8),SG:OTT(8),TOTAL ADJUSTMENT(0),TOTAL DISTANCE (FEET)(5),TOTAL DISTANCE(10),TOTAL DRIVES(10),TOTAL PUTTS,TOTAL ROUNDS,TOTAL ROUNDS(0),TOTAL ROUNDS(13),TOTAL SG:APP(6),TOTAL SG:ARG(3),TOTAL SG:OTT(9),TOTAL SG:P(12),TOTAL SG:PUTTING(1),TOTAL SG:PUTTING(2),TOTAL SG:T(12),TOTAL SG:T2G(12),TOTAL STROKES(0),TOTAL STROKES(13)
792.0,792.0,1270.0,269.0,55.26%,59.57%,64.39%,1.604,"7' 4""",71.041,-0.252,302.4,-0.069,70.28,-0.252,0.049,0.035,0.183,0.098,33.53%,336.0,896.0,510.0,510.0,25.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,282.0,1.0,-4.0,2.0,0.0,3.0,14.0,6.0,-4.0,10.0,6.0,2.0,-6.0,3.0,-1.0,-2.0,168.0,Charley Hoffman,12716,608.0,82.0,92.0,139.0,60.0,149.0,112.0,100.0,139.0,80.0,98.0,56.0,94.0,131.0,81.0,82.0,-0.3,98.0,0.035,0.049,0.098,35.907,1973.333,26615.0,88.0,1270.0,44.0,47.0,47.0,1.374,1.927,3.833,-9.815,-9.815,-9.815,-2.682,7.132,3303.0,3303.0
864.0,864.0,1336.0,303.0,56.97%,68.20%,62.15%,1.546,"6' 11""",71.367,0.61,282.1,-0.127,70.33,0.61,0.415,-0.372,-0.737,-0.781,30.28%,376.0,929.0,537.0,537.0,24.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,327.0,0.0,-3.0,-1.0,0.0,-6.0,-3.0,-13.0,-3.0,-1.0,-3.0,-1.0,14.0,4.0,0.0,-1.0,223.0,Aaron Baddeley,22371,660.0,4.0,127.0,6.0,172.0,139.0,120.0,107.0,6.0,8.0,5.0,20.0,148.0,164.0,160.0,173.0,-0.29,5.0,-0.372,0.415,-0.781,52.735,2103.667,27077.0,96.0,1336.0,48.0,51.0,51.0,-15.985,17.85,-33.563,26.22,26.22,26.22,-5.476,-31.698,3587.0,3587.0
918.0,990.0,1565.0,333.0,62.15%,60.92%,62.09%,1.581,"7' 7""",71.64,0.02,297.8,-0.557,70.88,0.02,-0.021,-0.427,-0.578,-0.13,31.29%,445.0,1090.0,620.0,570.0,21.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,348.0,1.0,-18.0,-5.0,2.0,-4.0,-2.0,2.0,-18.0,-1.0,-15.0,-2.0,0.0,0.0,-1.0,-4.0,212.0,Justin Rose,22405,716.0,29.0,150.0,94.0,103.0,66.0,151.0,159.0,94.0,100.0,75.0,83.0,164.0,165.0,153.0,122.0,-0.3,75.0,-0.427,-0.021,-0.13,38.653,2515.417,30378.0,102.0,1565.0,55.0,51.0,51.0,-20.068,-0.986,-6.089,0.949,0.949,0.949,-26.195,-27.144,3615.0,3615.0
810.0,810.0,1275.0,307.0,64.70%,60.67%,59.51%,1.574,"7' 7""",71.354,0.452,286.3,-0.284,71.21,0.452,0.196,-0.562,-0.736,-0.37,26.04%,405.0,847.0,482.0,482.0,23.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,328.0,1.0,0.0,-2.0,1.0,-5.0,-3.0,-2.0,0.0,0.0,3.0,-2.0,0.0,-3.0,-4.0,-3.0,199.0,Matt Kuchar,23108,626.0,20.0,125.0,23.0,167.0,38.0,134.0,168.0,23.0,47.0,78.0,83.0,168.0,177.0,159.0,156.0,-0.25,78.0,-0.562,0.196,-0.37,6.975,2332.25,25767.0,90.0,1275.0,45.0,48.0,48.0,-24.736,8.646,-16.294,19.884,19.884,19.884,-12.5,-32.386,3418.0,3418.0
648.0,648.0,1046.0,229.0,65.04%,61.02%,63.58%,1.614,"7' 6""",71.649,-0.304,299.0,-0.712,70.62,-0.304,-0.086,-0.475,-0.408,0.153,28.47%,320.0,745.0,412.0,412.0,23.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,236.0,2.0,-1.0,-2.0,-4.0,0.0,-1.0,-2.0,-1.0,1.0,11.0,-5.0,-1.0,3.0,-2.0,-7.0,144.0,Ryan Palmer,23320,492.0,108.0,151.0,146.0,93.0,32.0,158.0,140.0,146.0,119.0,72.0,76.0,166.0,146.0,147.0,70.0,-0.24,72.0,-0.475,-0.086,0.153,40.311,1716.167,21528.0,72.0,1046.0,36.0,39.0,39.0,-15.205,-2.737,4.895,-9.727,-9.727,-9.727,-22.77,-13.046,2754.0,2754.0
612.0,648.0,1046.0,191.0,65.61%,61.81%,67.48%,1.614,"7' 7""",70.789,0.453,283.5,0.332,69.76,0.453,0.032,-0.018,-0.121,-0.136,29.47%,311.0,766.0,431.0,413.0,24.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,199.0,-3.0,0.0,-1.0,1.0,3.0,-8.0,0.0,0.0,-4.0,0.0,-2.0,-6.0,-4.0,1.0,0.0,123.0,Zach Johnson,24024,474.0,108.0,61.0,22.0,170.0,28.0,65.0,43.0,22.0,85.0,54.0,83.0,108.0,53.0,113.0,123.0,-0.25,54.0,-0.018,0.032,-0.136,38.998,1444.083,19276.0,68.0,1046.0,36.0,38.0,38.0,-0.566,1.029,-4.35,14.503,14.503,14.503,10.618,-3.886,2651.0,2651.0
990.0,1062.0,1695.0,339.0,57.44%,60.54%,66.46%,1.596,"7' 11""",70.181,0.319,306.2,0.808,69.85,0.319,0.007,0.126,0.49,0.356,31.34%,440.0,1232.0,704.0,658.0,24.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,332.0,1.0,8.0,-4.0,0.0,13.0,27.0,11.0,8.0,1.0,-15.0,-25.0,6.0,28.0,10.0,11.0,201.0,Adam Scott,24502,766.0,60.0,13.0,40.0,38.0,129.0,26.0,52.0,40.0,92.0,81.0,129.0,78.0,80.0,47.0,31.0,-0.3,81.0,0.126,0.007,0.356,17.951,2681.0,33683.0,110.0,1695.0,59.0,55.0,55.0,6.321,0.367,17.793,15.925,15.925,15.925,40.421,24.496,3842.0,3842.0
,576.0,941.0,,,,,1.634,,,,,,,,,,,,25.00%,,651.0,362.0,,24.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,Scott Gutschewski,24980,,150.0,,,,,,,,,,,,,,,,,,,,,,,,941.0,32.0,,,,,,,,,,,,
1062.0,1098.0,1746.0,385.0,60.95%,61.68%,62.90%,1.59,"7' 4""",71.223,0.061,290.7,0.234,70.47,0.061,0.093,0.291,0.173,-0.211,30.28%,501.0,1214.0,689.0,668.0,22.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,394.0,-6.0,-11.0,-3.0,10.0,1.0,2.0,12.0,-11.0,9.0,9.0,-26.0,5.0,3.0,0.0,-7.0,243.0,Nick Taylor,25493,822.0,48.0,106.0,85.0,156.0,84.0,81.0,125.0,85.0,69.0,59.0,56.0,51.0,155.0,83.0,136.0,-0.28,59.0,0.291,0.093,-0.211,46.856,2816.583,34306.0,118.0,1746.0,61.0,62.0,62.0,16.286,5.221,-11.841,3.423,3.423,3.423,13.1,9.677,4369.0,4369.0
1170.0,1206.0,1941.0,369.0,69.27%,58.10%,66.75%,1.609,"6' 10""",70.909,-0.346,287.5,0.296,70.32,-0.346,0.143,0.523,0.642,-0.024,30.58%,629.0,1402.0,798.0,781.0,24.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,389.0,-2.0,1.0,-4.0,0.0,-9.0,-6.0,-7.0,1.0,-10.0,-3.0,-2.0,-1.0,-12.0,-11.0,-4.0,226.0,Lucas Glover,25900,908.0,99.0,81.0,149.0,166.0,9.0,73.0,105.0,149.0,56.0,118.0,13.0,15.0,71.0,33.0,106.0,-0.29,118.0,0.523,0.143,-0.024,38.107,2528.833,37369.0,130.0,1941.0,67.0,65.0,65.0,31.351,8.589,-1.418,-20.754,-20.754,-20.754,17.769,38.521,4571.0,4571.0
