PLAYER_ID,RANK,MOVEMENT,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,TOTAL SG:PUTTING,TOTAL STROKES,TOTAL ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL ADJUSTMENT,TOTAL SG:APP,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,TOTAL SG:OTT,SG:OTT,SG:APR,SG:ARG,PAR OR BETTER,MISSED GIR,TOTAL DISTANCE,TOTAL DRIVES,TOTAL SG:ARG,FAIRWAYS HIT,POSSIBLE FAIRWAYS
27649,174,-1,Brandt Snedeker,-1.732,-67.536,-59.507,-8.032,39.0,-8.032,3240.0,45.0,62.17%,470.0,756.0,-0.22,43.302,-35.242,"8' 10""",2367.75,269.0,159.0,-21.836,-0.56,-0.904,-0.062,158.0,286.0,23677.0,84.0,-2.428,360.0,582.0
27770,177,-2,Camilo Villegas,-2.146,-66.534,-47.455,-19.082,31.0,-19.082,2950.0,41.0,64.26%,428.0,666.0,-0.24,47.683,-11.42,"7' 9""",1470.5,189.0,175.0,-32.963,-1.063,-0.368,-0.099,122.0,238.0,20908.0,74.0,-3.071,279.0,521.0
27936,114,-2,Martin Laird,-0.08,-3.109,-10.554,7.445,39.0,7.445,3296.0,47.0,67.55%,535.0,792.0,-0.25,47.781,-10.649,"6' 7""",1473.5,223.0,22.0,-15.447,-0.396,-0.273,0.398,166.0,257.0,25125.0,87.0,15.526,370.0,612.0
28089,41,0,Jason Day,0.592,30.182,-1.147,31.33,51.0,31.33,4258.0,61.0,63.55%,652.0,1026.0,-0.34,63.014,-19.092,"7' 4""",2639.167,360.0,23.0,6.541,0.128,-0.374,0.223,241.0,374.0,34357.0,114.0,11.389,486.0,800.0
28237,3,0,Rory McIlroy,1.896,94.782,81.055,13.73,50.0,13.73,3816.0,55.0,66.67%,660.0,990.0,-0.34,2.586,19.846,"6' 10""",2183.25,320.0,12.0,46.059,0.921,0.397,0.303,216.0,330.0,35127.0,110.0,15.135,480.0,766.0
28252,107,-7,Seamus Power,-0.002,-0.113,7.884,-7.998,63.0,-7.998,4569.0,65.0,66.24%,775.0,1170.0,-0.27,55.981,11.757,"7' 5""",2915.5,394.0,41.0,-5.049,-0.08,0.187,0.018,249.0,395.0,38599.0,130.0,1.163,565.0,906.0
28420,172,-3,Ryan Brehm,-1.501,-49.52,-38.746,-10.776,33.0,-10.776,3094.0,43.0,62.64%,451.0,720.0,-0.25,42.289,-20.409,"7' 10""",1802.0,230.0,157.0,0.357,0.011,-0.618,-0.567,149.0,269.0,24426.0,80.0,-18.695,298.0,550.0
28775,51,-3,Nate Lashley,0.463,17.143,7.205,9.937,37.0,9.937,3153.0,45.0,66.80%,505.0,756.0,-0.27,38.371,3.445,"7' 3""",1632.833,226.0,28.0,-6.019,-0.163,0.093,0.264,161.0,251.0,24448.0,84.0,9.763,392.0,582.0
29221,125,-4,Webb Simpson,-0.175,-6.998,10.916,-17.915,40.0,-17.915,2903.0,41.0,61.38%,453.0,738.0,-0.27,13.16,-16.346,"7' 4""",2239.583,305.0,65.0,1.866,0.047,-0.409,0.635,175.0,285.0,24533.0,82.0,25.397,349.0,570.0
29420,30,-6,Billy Horschel,0.752,38.333,10.251,28.082,51.0,28.082,4112.0,59.0,65.48%,660.0,1008.0,-0.29,20.146,-5.786,"7' 3""",2403.917,331.0,15.0,8.671,0.17,-0.113,0.144,227.0,348.0,33431.0,112.0,7.367,491.0,774.0
29478,175,0,Kevin Kisner,-1.882,-64.003,-70.29,6.285,34.0,6.285,2813.0,39.0,60.49%,392.0,648.0,-0.23,37.725,-23.866,"7' 11""",1773.333,223.0,150.0,-29.09,-0.856,-0.702,-0.51,144.0,256.0,20538.0,72.0,-17.336,303.0,500.0
29725,8,1,Tony Finau,1.194,65.688,76.515,-10.828,55.0,-10.828,4526.0,65.0,69.03%,758.0,1098.0,-0.31,38.01,47.556,"7' 0""",2332.417,333.0,110.0,9.107,0.166,0.865,0.361,199.0,340.0,37573.0,122.0,19.839,493.0,848.0
29908,47,0,C.T. Pan,0.502,21.579,22.017,-0.437,43.0,-0.437,3010.0,43.0,66.93%,518.0,774.0,-0.27,25.431,4.616,"7' 8""",2082.0,272.0,57.0,-2.491,-0.058,0.107,0.462,158.0,256.0,25188.0,86.0,19.877,377.0,598.0
29936,100,-2,Ryan Fox,0.055,2.819,-11.02,13.84,51.0,13.84,3956.0,56.0,64.38%,649.0,1008.0,-0.31,11.19,1.691,"8' 10""",2895.417,329.0,167.0,2.065,0.04,0.033,-0.29,195.0,359.0,34638.0,112.0,-14.778,383.0,772.0
30911,35,0,Tommy Fleetwood,0.681,35.404,27.555,7.85,52.0,7.85,3984.0,57.0,66.76%,685.0,1026.0,-0.29,27.966,0.136,"8' 0""",2850.0,355.0,9.0,13.96,0.268,0.003,0.259,226.0,341.0,34004.0,114.0,13.444,560.0,798.0
30926,85,0,Chris Kirk,0.179,8.962,30.323,-21.36,50.0,-21.36,4144.0,59.0,64.65%,640.0,990.0,-0.3,49.529,9.503,"7' 5""",2593.583,351.0,95.0,14.404,0.288,0.19,0.128,209.0,350.0,32625.0,110.0,6.402,490.0,774.0
