3Putts_AVG,Driver_Distance_AVG,Fairway%,GIR%,GIR_RELATIVE/PAR,GIR_off_Fairway%,GIR_on_Fairway%,PLAYER,PLAYER_ID,Par3_AVG,Par4_AVG,Par5_AVG,Putting_AVG,Putting_Birdie_Conversions,Putts_Overall_AVG,REMOVE10a,REMOVE10b,REMOVE10c,REMOVE10d,REMOVE11a,REMOVE11b,REMOVE11c,REMOVE11d,REMOVE12a,REMOVE12b,REMOVE12c,REMOVE12d,REMOVE12e,REMOVE13a,REMOVE13b,REMOVE13c,REMOVE13d,REMOVE13e,REMOVE14a,REMOVE14b,REMOVE14c,REMOVE14d,REMOVE15a,REMOVE15b,REMOVE15c,REMOVE15d,REMOVE16a,REMOVE16b,REMOVE16c,REMOVE16d,REMOVE17a,REMOVE17b,REMOVE17c,REMOVE17d,REMOVE18a,REMOVE18b,REMOVE18c,REMOVE18d,REMOVE19a,REMOVE19b,REMOVE19c,REMOVE19d,REMOVE1a,REMOVE1b,REMOVE1c,REMOVE1d,REMOVE20a,REMOVE20b,REMOVE20c,REMOVE20d,REMOVE21a,REMOVE21b,REMOVE21c,REMOVE21d,REMOVE21e,REMOVE21f,REMOVE2a,REMOVE2b,REMOVE2c,REMOVE2d,REMOVE3a,REMOVE3b,REMOVE3c,REMOVE3d,REMOVE4a,REMOVE4b,REMOVE4c,REMOVE4d,REMOVE5a,REMOVE5b,REMOVE5c,REMOVE5d,REMOVE6a,REMOVE6b,REMOVE6c,REMOVE6d,REMOVE7a,REMOVE7b,REMOVE7c,REMOVE7d,REMOVE8a,REMOVE8b,REMOVE8c,REMOVE8d,REMOVE9a,REMOVE9b,REMOVE9c,REMOVE9d,SG_APP_AVG,SG_ARG_AVG,SG_DRIVE_AVG,SG_PUTTING_AVG,SG_TOTAL_AVG,Scrambling%,Scrambling_Rough%,Scrambling_Sand%,Strokes_Adj_AVG,Total_Putts_AVG
0.5,310.9,62.07%,72.81%,-0.29,65.66%,80.86%,Jhonattan Vegas,27064,3.03,3.99,4.49,1.767,30.32%,1.662,10.0,3.0,620.0,138.0,106.0,2.0,880.0,498.0,172.0,-1.0,1137.0,38.0,26.0,45.0,1.0,2849.0,46.39,41.0,127.0,-1.0,31.0,56.0,168.0,-1.0,10.0,25.0,146.0,-1.0,105.0,186.0,26.0,0.0,13.537,33.0,139.0,0.0,-5.933,33.0,8.0,0.0,22.897,33.0,62.0,0.0,19.0,38.0,174.0,-1.0,-20.997,33.0,74.0,0.0,9.505,30.501,-20.997,33.0,68.0,2.0,324.0,522.0,10.0,1.0,23632.0,76.0,1.0,0.0,130.0,198.0,8.0,1.0,262.0,324.0,2.0,0.0,498.0,684.0,171.0,-1.0,1137.0,684.0,58.0,3.0,528.0,174.0,24.0,11.0,1701.0,426.0,0.41,-0.18,0.694,-0.636,0.288,56.45%,55.36%,40.00%,70.619,29.92
0.51,301.5,55.93%,66.35%,-0.3,51.99%,75.42%,Luke List,27129,3.0,4.07,4.58,1.779,31.44%,1.635,79.0,7.0,806.0,176.0,138.0,0.0,1126.0,633.0,151.0,0.0,1560.0,53.0,25.0,147.0,-1.0,3746.0,45.573,53.0,144.0,-1.0,59.0,110.0,157.0,-1.0,23.0,53.0,149.0,-3.0,181.0,321.0,101.0,-1.0,0.863,47.0,163.0,-1.0,-16.969,47.0,88.0,0.0,3.154,47.0,58.0,0.0,27.0,53.0,115.0,-1.0,-4.042,47.0,141.0,-1.0,-16.993,-12.953,-4.042,47.0,145.0,0.0,415.0,742.0,68.0,2.0,31956.0,106.0,101.0,6.0,170.0,327.0,109.0,4.0,313.0,415.0,73.0,10.0,633.0,954.0,151.0,-1.0,1560.0,954.0,17.0,4.0,635.0,212.0,157.0,1.0,2305.0,566.0,0.018,-0.361,0.067,-0.086,-0.362,56.39%,53.64%,43.40%,71.539,29.43
0.44,303.3,54.68%,69.68%,-0.28,57.67%,79.01%,David Skinns,27139,2.95,4.03,4.61,1.756,30.45%,1.627,109.0,2.0,783.0,170.0,77.0,1.0,1057.0,602.0,137.0,2.0,1406.0,48.0,26.0,89.0,-1.0,3567.0,54.073,51.0,131.0,-1.0,47.0,86.0,153.0,-1.0,21.0,48.0,130.0,2.0,151.0,262.0,32.0,0.0,15.459,43.0,131.0,-1.0,-5.733,43.0,103.0,0.0,-0.263,43.0,92.0,3.0,21.0,48.0,110.0,-1.0,-1.863,43.0,86.0,0.0,7.602,9.464,-1.863,43.0,156.0,0.0,362.0,662.0,52.0,1.0,29118.0,96.0,22.0,3.0,173.0,300.0,32.0,2.0,286.0,362.0,13.0,1.0,602.0,864.0,137.0,1.0,1406.0,864.0,1.0,0.0,631.0,214.0,105.0,5.0,2153.0,534.0,0.36,-0.133,-0.006,-0.043,0.177,57.63%,54.65%,43.75%,71.001,29.29
0.4,294.3,58.70%,66.15%,-0.29,53.85%,76.64%,Kevin Streelman,27214,3.05,4.03,4.61,1.758,30.98%,1.616,109.0,2.0,700.0,152.0,88.0,0.0,900.0,512.0,115.0,0.0,1251.0,43.0,24.0,142.0,-2.0,3239.0,50.079,46.0,56.0,-1.0,69.0,114.0,142.0,-1.0,19.0,41.0,154.0,0.0,147.0,262.0,93.0,-1.0,1.802,38.0,99.0,0.0,-0.684,38.0,122.0,-1.0,-4.901,38.0,124.0,-6.0,17.0,43.0,143.0,-1.0,-10.688,38.0,143.0,-1.0,-14.469,-3.782,-10.688,38.0,114.0,3.0,351.0,598.0,130.0,0.0,25012.0,85.0,65.0,9.0,133.0,247.0,84.0,-2.0,269.0,351.0,83.0,8.0,512.0,774.0,113.0,1.0,1251.0,774.0,82.0,6.0,573.0,188.0,105.0,5.0,1966.0,488.0,0.047,-0.018,-0.129,-0.281,-0.381,56.11%,60.53%,46.34%,71.502,29.09
0.44,293.8,65.13%,68.58%,-0.27,55.93%,77.50%,Alex Noren,27349,3.02,3.96,4.57,1.781,28.99%,1.609,71.0,-27.0,968.0,212.0,141.0,-3.0,1341.0,753.0,101.0,-5.0,1767.0,61.0,24.0,8.0,1.0,4511.0,36.66,65.0,5.0,-1.0,69.0,100.0,8.0,0.0,44.0,67.0,3.0,0.0,235.0,345.0,44.0,-1.0,17.128,52.0,6.0,0.0,21.931,52.0,62.0,0.0,8.729,52.0,92.0,26.0,27.0,61.0,69.0,0.0,7.557,52.0,13.0,0.0,55.358,47.802,7.557,52.0,31.0,5.0,551.0,846.0,132.0,3.0,35845.0,122.0,35.0,1.0,165.0,295.0,63.0,1.0,427.0,551.0,29.0,-3.0,753.0,1098.0,99.0,-4.0,1767.0,1098.0,44.0,6.0,810.0,268.0,3.0,0.0,2733.0,690.0,0.329,0.422,0.168,0.145,1.065,68.12%,69.00%,65.67%,69.964,28.97
0.28,291.9,65.63%,65.34%,-0.31,49.56%,75.73%,Brian Harman,27644,3.04,3.98,4.67,1.731,32.22%,1.577,156.0,-30.0,1045.0,224.0,26.0,-7.0,1445.0,835.0,21.0,-3.0,2015.0,71.0,22.0,25.0,-3.0,4972.0,24.223,71.0,91.0,-2.0,68.0,118.0,47.0,0.0,49.0,85.0,55.0,-19.0,273.0,443.0,37.0,0.0,22.385,64.0,49.0,0.0,12.182,64.0,90.0,0.0,3.081,64.0,170.0,1.0,20.0,71.0,30.0,0.0,22.874,64.0,19.0,0.0,60.535,37.661,22.874,64.0,28.0,-2.0,651.0,992.0,149.0,-1.0,41454.0,142.0,151.0,2.0,169.0,341.0,103.0,-3.0,493.0,651.0,108.0,-10.0,835.0,1278.0,21.0,-3.0,2015.0,1278.0,70.0,-34.0,869.0,286.0,13.0,4.0,3058.0,768.0,0.35,0.19,0.048,0.357,0.946,61.63%,57.63%,57.65%,70.369,28.38
0.79,281.9,61.86%,62.17%,-0.22,48.65%,73.06%,Brandt Snedeker,27649,3.15,4.1,4.71,1.813,27.23%,1.632,169.0,3.0,726.0,154.0,174.0,-1.0,852.0,470.0,146.0,-1.0,1234.0,42.0,24.0,175.0,-1.0,3240.0,43.302,45.0,174.0,-1.0,53.0,109.0,87.0,-1.0,28.0,53.0,161.0,-2.0,158.0,286.0,176.0,-1.0,-35.242,39.0,112.0,0.0,-2.428,39.0,166.0,-1.0,-21.836,39.0,1.0,0.0,33.0,42.0,134.0,-1.0,-8.032,39.0,175.0,-1.0,-67.536,-59.507,-8.032,39.0,72.0,1.0,360.0,582.0,174.0,-1.0,23677.0,84.0,158.0,4.0,108.0,222.0,157.0,1.0,263.0,360.0,164.0,-1.0,470.0,756.0,146.0,-1.0,1234.0,756.0,173.0,-1.0,586.0,186.0,169.0,1.0,1928.0,470.0,-0.904,-0.062,-0.56,-0.206,-1.732,55.24%,48.62%,52.83%,72.962,29.38
0.65,282.5,53.55%,64.26%,-0.24,52.89%,75.99%,Camilo Villegas,27770,3.11,4.07,4.79,1.797,28.27%,1.658,178.0,-1.0,670.0,140.0,154.0,1.0,769.0,428.0,168.0,-1.0,1104.0,37.0,23.0,178.0,-1.0,2950.0,47.683,41.0,167.0,-1.0,43.0,86.0,139.0,-1.0,21.0,45.0,176.0,-1.0,122.0,238.0,147.0,-1.0,-11.42,31.0,122.0,0.0,-3.071,31.0,177.0,-1.0,-32.963,31.0,17.0,1.0,24.0,37.0,171.0,-1.0,-19.082,31.0,178.0,-1.0,-66.534,-47.455,-19.082,31.0,163.0,0.0,279.0,521.0,172.0,-1.0,20908.0,74.0,85.0,6.0,128.0,242.0,99.0,-4.0,212.0,279.0,130.0,4.0,428.0,666.0,168.0,-1.0,1104.0,666.0,155.0,0.0,500.0,161.0,157.0,1.0,1780.0,437.0,-0.368,-0.099,-1.063,-0.616,-2.146,51.26%,50.00%,46.67%,73.114,29.84
0.5,288.8,60.46%,67.55%,-0.25,52.48%,78.11%,Martin Laird,27936,3.06,3.98,4.69,1.781,28.09%,1.61,161.0,3.0,713.0,152.0,141.0,1.0,953.0,535.0,104.0,-1.0,1275.0,44.0,24.0,102.0,-2.0,3296.0,47.781,47.0,37.0,-1.0,57.0,92.0,1.0,0.0,33.0,46.0,18.0,4.0,166.0,257.0,132.0,-1.0,-10.649,39.0,10.0,0.0,15.526,39.0,158.0,-1.0,-15.447,39.0,62.0,0.0,22.0,44.0,56.0,0.0,7.445,39.0,115.0,-1.0,-3.109,-10.554,7.445,39.0,92.0,3.0,370.0,612.0,162.0,-1.0,25125.0,87.0,90.0,6.0,127.0,242.0,54.0,-1.0,289.0,370.0,50.0,2.0,535.0,792.0,104.0,-1.0,1275.0,792.0,99.0,0.0,587.0,192.0,13.0,4.0,1996.0,502.0,-0.273,0.398,-0.396,0.191,-0.08,64.59%,61.96%,71.74%,71.144,28.98
0.34,299.8,60.86%,63.48%,-0.33,51.04%,74.86%,Jason Day,28089,3.09,3.97,4.53,1.722,33.43%,1.551,35.0,-6.0,987.0,218.0,10.0,-2.0,1200.0,697.0,6.0,-1.0,1703.0,61.0,22.0,54.0,17.0,4543.0,52.626,65.0,73.0,-1.0,72.0,123.0,40.0,0.0,40.0,68.0,27.0,-4.0,256.0,401.0,150.0,-1.0,-19.092,51.0,39.0,0.0,11.389,51.0,76.0,0.0,6.541,51.0,158.0,1.0,21.0,61.0,5.0,0.0,31.33,51.0,41.0,0.0,30.182,-1.147,31.33,51.0,82.0,4.0,521.0,856.0,82.0,-10.0,36581.0,122.0,116.0,-16.0,171.0,335.0,127.0,5.0,390.0,521.0,145.0,2.0,697.0,1098.0,6.0,0.0,1703.0,1098.0,130.0,16.0,798.0,258.0,9.0,2.0,2758.0,694.0,-0.374,0.223,0.128,0.614,0.592,63.84%,58.54%,58.82%,70.702,27.92
0.44,319.2,61.84%,65.98%,-0.34,53.80%,75.36%,Rory McIlroy,28237,3.02,3.98,4.56,1.739,34.57%,1.579,63.0,-19.0,849.0,186.0,41.0,-5.0,1177.0,677.0,25.0,3.0,1620.0,57.0,23.0,3.0,0.0,3969.0,-4.207,57.0,28.0,-1.0,66.0,104.0,115.0,-1.0,26.0,52.0,19.0,-7.0,225.0,349.0,27.0,0.0,19.846,50.0,22.0,0.0,15.135,50.0,2.0,0.0,46.059,50.0,92.0,-5.0,25.0,57.0,47.0,0.0,13.73,50.0,3.0,0.0,94.782,81.055,13.73,50.0,73.0,-12.0,491.0,794.0,2.0,0.0,36394.0,114.0,67.0,-4.0,163.0,303.0,113.0,0.0,370.0,491.0,91.0,-19.0,677.0,1026.0,25.0,3.0,1620.0,1026.0,44.0,-8.0,700.0,232.0,13.0,-2.0,2420.0,608.0,0.397,0.303,0.921,0.275,1.896,64.47%,63.46%,50.00%,69.558,28.42
0.46,296.9,62.36%,66.24%,-0.27,50.44%,78.41%,Seamus Power,28252,3.06,4.03,4.54,1.775,29.88%,1.604,43.0,11.0,954.0,210.0,127.0,2.0,1376.0,775.0,84.0,1.0,1877.0,65.0,22.0,103.0,-1.0,4569.0,55.981,65.0,16.0,-1.0,80.0,123.0,58.0,-1.0,45.0,80.0,38.0,3.0,249.0,395.0,67.0,-1.0,11.757,63.0,89.0,0.0,1.163,63.0,116.0,0.0,-5.049,63.0,84.0,-3.0,30.0,65.0,118.0,-1.0,-7.998,63.0,108.0,-1.0,-0.113,7.884,-7.998,63.0,64.0,-1.0,565.0,906.0,111.0,3.0,38599.0,130.0,131.0,7.0,172.0,341.0,43.0,2.0,443.0,565.0,77.0,9.0,775.0,1170.0,82.0,1.0,1877.0,1170.0,99.0,0.0,807.0,264.0,105.0,5.0,2808.0,696.0,0.187,0.018,-0.08,-0.127,-0.002,63.04%,65.04%,56.25%,71.154,28.88
0.6,305.3,54.18%,62.64%,-0.25,53.17%,73.49%,Ryan Brehm,28420,3.13,4.13,4.67,1.809,27.39%,1.642,156.0,4.0,701.0,150.0,170.0,-1.0,816.0,451.0,158.0,-1.0,1182.0,40.0,24.0,174.0,-1.0,3094.0,42.289,43.0,160.0,-1.0,48.0,92.0,76.0,-1.0,25.0,46.0,160.0,-3.0,149.0,269.0,172.0,-1.0,-20.409,33.0,175.0,-1.0,-18.695,33.0,97.0,0.0,0.357,33.0,25.0,4.0,24.0,40.0,149.0,-1.0,-10.776,33.0,173.0,-1.0,-49.52,-38.746,-10.776,33.0,161.0,-2.0,298.0,550.0,40.0,1.0,24426.0,80.0,79.0,6.0,134.0,252.0,151.0,-1.0,219.0,298.0,158.0,1.0,451.0,720.0,158.0,-1.0,1182.0,720.0,166.0,0.0,569.0,182.0,175.0,-1.0,1824.0,442.0,-0.618,-0.567,0.011,-0.327,-1.501,55.39%,52.17%,54.35%,72.937,29.55
0.62,291.0,67.35%,66.80%,-0.27,53.16%,72.70%,Nate Lashley,28775,2.97,4.02,4.62,1.776,30.02%,1.604,117.0,3.0,702.0,152.0,133.0,1.0,897.0,505.0,84.0,1.0,1213.0,42.0,24.0,80.0,2.0,3153.0,38.371,45.0,11.0,-1.0,61.0,93.0,110.0,-1.0,23.0,45.0,23.0,5.0,161.0,251.0,84.0,-1.0,3.445,37.0,27.0,0.0,9.763,37.0,129.0,-1.0,-6.019,37.0,23.0,0.0,26.0,42.0,50.0,0.0,9.937,37.0,51.0,0.0,17.143,7.205,9.937,37.0,16.0,2.0,392.0,582.0,156.0,-3.0,24448.0,84.0,80.0,6.0,101.0,190.0,165.0,-2.0,285.0,392.0,63.0,4.0,505.0,756.0,82.0,1.0,1213.0,756.0,3.0,1.0,552.0,186.0,87.0,2.0,1899.0,472.0,0.093,0.264,-0.163,0.269,0.463,64.14%,65.59%,51.11%,70.919,28.88
0.49,299.2,61.23%,61.38%,-0.27,49.77%,72.21%,Webb Simpson,29221,3.15,4.03,4.63,1.775,29.27%,1.588,119.0,7.0,593.0,128.0,127.0,2.0,804.0,453.0,43.0,5.0,1172.0,41.0,24.0,101.0,-2.0,2903.0,13.16,41.0,39.0,-1.0,70.0,113.0,34.0,0.0,41.0,69.0,57.0,8.0,175.0,285.0,158.0,0.0,-16.346,40.0,2.0,0.0,25.397,40.0,91.0,0.0,1.866,40.0,67.0,1.0,20.0,41.0,160.0,0.0,-17.915,40.0,126.0,-1.0,-6.998,10.916,-17.915,40.0,79.0,1.0,349.0,570.0,89.0,3.0,24533.0,82.0,148.0,1.0,110.0,221.0,170.0,-1.0,252.0,349.0,169.0,0.0,453.0,738.0,42.0,6.0,1172.0,738.0,173.0,-1.0,530.0,168.0,105.0,5.0,1780.0,442.0,-0.409,0.635,0.047,-0.448,-0.175,61.40%,61.95%,59.42%,71.126,28.59
0.47,297.5,64.22%,65.65%,-0.29,50.17%,74.30%,Billy Horschel,29420,2.97,4.03,4.52,1.757,30.93%,1.583,25.0,4.0,876.0,194.0,82.0,20.0,1246.0,709.0,36.0,8.0,1710.0,60.0,23.0,5.0,3.0,4389.0,9.758,63.0,30.0,-1.0,75.0,119.0,61.0,-1.0,37.0,66.0,12.0,3.0,241.0,371.0,120.0,-1.0,-5.786,51.0,55.0,0.0,7.367,51.0,61.0,0.0,8.671,51.0,76.0,-14.0,28.0,60.0,13.0,0.0,28.082,51.0,30.0,0.0,38.333,10.251,28.082,51.0,41.0,9.0,533.0,830.0,105.0,-9.0,35702.0,120.0,138.0,-10.0,149.0,297.0,139.0,14.0,396.0,533.0,102.0,9.0,709.0,1080.0,34.0,8.0,1710.0,1080.0,3.0,1.0,778.0,262.0,105.0,26.0,2735.0,678.0,-0.113,0.144,0.17,0.551,0.752,64.96%,63.03%,56.06%,69.822,28.5
0.67,285.3,60.60%,60.49%,-0.23,49.75%,69.64%,Kevin Kisner,29478,3.12,4.12,4.78,1.801,26.85%,1.619,176.0,-1.0,602.0,126.0,161.0,-1.0,706.0,392.0,124.0,-1.0,1049.0,36.0,21.0,177.0,-1.0,2813.0,37.725,39.0,176.0,-1.0,37.0,83.0,146.0,-1.0,21.0,46.0,151.0,-1.0,144.0,256.0,173.0,-1.0,-23.866,34.0,173.0,-1.0,-17.336,34.0,175.0,-1.0,-29.09,34.0,14.0,2.0,24.0,36.0,57.0,0.0,6.285,34.0,176.0,-1.0,-64.003,-70.29,6.285,34.0,89.0,1.0,303.0,500.0,170.0,-1.0,20538.0,72.0,149.0,1.0,98.0,197.0,178.0,-1.0,211.0,303.0,174.0,0.0,392.0,648.0,124.0,-1.0,1049.0,648.0,162.0,1.0,499.0,160.0,174.0,-1.0,1712.0,416.0,-0.702,-0.51,-0.856,0.185,-1.882,56.25%,44.58%,45.65%,73.096,29.14
0.52,307.3,57.76%,68.69%,-0.3,58.65%,79.84%,Tony Finau,29725,3.07,4.01,4.46,1.761,31.87%,1.617,2.0,0.0,990.0,222.0,98.0,-7.0,1372.0,779.0,118.0,-5.0,1834.0,63.0,24.0,19.0,-3.0,4678.0,31.217,67.0,139.0,-1.0,61.0,113.0,107.0,-1.0,22.0,43.0,117.0,-7.0,206.0,355.0,3.0,0.0,47.556,55.0,15.0,0.0,19.839,55.0,63.0,0.0,9.107,55.0,52.0,-4.0,33.0,63.0,132.0,-1.0,-10.828,55.0,8.0,0.0,65.688,76.515,-10.828,55.0,124.0,-3.0,506.0,876.0,30.0,-1.0,38724.0,126.0,15.0,2.0,217.0,370.0,20.0,1.0,404.0,506.0,26.0,-3.0,779.0,1134.0,117.0,-4.0,1834.0,1134.0,112.0,-13.0,841.0,274.0,64.0,-14.0,2847.0,710.0,0.865,0.361,0.166,-0.197,1.194,58.03%,53.98%,51.16%,70.287,29.11
0.36,292.7,63.42%,66.91%,-0.26,54.15%,76.07%,C.T. Pan,29908,3.04,4.0,4.7,1.773,27.64%,1.621,166.0,-10.0,672.0,143.0,123.0,-22.0,961.0,542.0,128.0,-18.0,1313.0,45.0,22.0,50.0,-7.0,3161.0,18.638,45.0,102.0,-1.0,45.0,79.0,126.0,-1.0,21.0,43.0,62.0,-5.0,164.0,268.0,83.0,-1.0,4.616,43.0,4.0,0.0,19.877,43.0,112.0,0.0,-2.491,43.0,146.0,6.0,16.0,45.0,101.0,0.0,-0.437,43.0,47.0,0.0,21.579,22.017,-0.437,43.0,49.0,7.0,397.0,626.0,144.0,-3.0,26345.0,90.0,63.0,11.0,124.0,229.0,96.0,3.0,302.0,397.0,60.0,0.0,542.0,810.0,128.0,-18.0,1313.0,810.0,70.0,-20.0,559.0,184.0,45.0,-10.0,1930.0,483.0,0.107,0.462,-0.058,-0.01,0.502,61.19%,56.96%,48.84%,70.659,29.18
0.43,308.1,49.64%,63.89%,-0.3,53.24%,75.67%,Ryan Fox,29936,3.0,4.08,4.67,1.749,31.64%,1.618,156.0,-30.0,868.0,186.0,58.0,-8.0,1207.0,690.0,121.0,6.0,1747.0,60.0,25.0,61.0,11.0,4245.0,0.802,60.0,123.0,-1.0,59.0,106.0,140.0,-1.0,27.0,58.0,158.0,9.0,217.0,390.0,97.0,-1.0,1.691,51.0,157.0,-1.0,-14.778,51.0,92.0,0.0,2.065,51.0,101.0,-14.0,26.0,60.0,49.0,0.0,13.84,51.0,100.0,0.0,2.819,-11.02,13.84,51.0,175.0,-1.0,411.0,828.0,27.0,-4.0,36969.0,120.0,77.0,-5.0,222.0,417.0,105.0,-1.0,311.0,411.0,137.0,-5.0,690.0,1080.0,121.0,4.0,1747.0,1080.0,17.0,19.0,757.0,252.0,162.0,1.0,2620.0,642.0,0.033,-0.29,0.04,0.271,0.055,55.64%,55.66%,46.55%,70.763,29.12
0.47,292.6,66.60%,69.44%,-0.3,50.32%,81.15%,Henrik Norlander,30163,2.99,3.99,4.5,1.751,31.91%,1.595,13.0,0.0,531.0,118.0,67.0,0.0,744.0,425.0,58.0,0.0,976.0,34.0,23.0,88.0,0.0,2361.0,52.896,34.0,3.0,0.0,43.0,62.0,48.0,0.0,12.0,21.0,4.0,0.0,127.0,187.0,39.0,0.0,8.894,26.0,140.0,0.0,-4.747,26.0,118.0,0.0,-2.47,26.0,76.0,0.0,16.0,34.0,104.0,0.0,-0.533,26.0,101.0,0.0,1.144,1.677,-0.533,26.0,21.0,0.0,313.0,470.0,146.0,0.0,19896.0,68.0,134.0,0.0,79.0,157.0,6.0,0.0,254.0,313.0,16.0,0.0,425.0,612.0,57.0,0.0,976.0,612.0,12.0,0.0,425.0,142.0,24.0,0.0,1405.0,352.0,0.342,-0.183,-0.095,-0.021,0.044,67.91%,69.35%,57.14%,70.997,28.71
0.41,298.0,69.37%,66.29%,-0.28,50.20%,74.69%,Tommy Fleetwood,30911,3.02,3.99,4.65,1.771,30.16%,1.605,147.0,-2.0,883.0,190.0,115.0,-1.0,1247.0,704.0,90.0,-12.0,1705.0,59.0,21.0,31.0,-4.0,4135.0,21.173,59.0,4.0,-1.0,58.0,84.0,46.0,0.0,41.0,71.0,15.0,-6.0,232.0,358.0,105.0,-1.0,0.136,52.0,28.0,0.0,13.444,52.0,47.0,0.0,13.96,52.0,112.0,6.0,24.0,59.0,66.0,0.0,7.85,52.0,35.0,0.0,35.404,27.555,7.85,52.0,8.0,-3.0,573.0,826.0,100.0,-3.0,35167.0,118.0,135.0,-6.0,127.0,253.0,132.0,-6.0,428.0,573.0,74.0,-4.0,704.0,1062.0,87.0,-11.0,1705.0,1062.0,44.0,6.0,713.0,236.0,24.0,-7.0,2539.0,636.0,0.003,0.259,0.268,0.151,0.681,64.80%,69.05%,57.75%,70.444,28.9
0.47,296.5,63.13%,64.41%,-0.29,54.58%,74.24%,Chris Kirk,30926,3.09,3.99,4.64,1.747,31.33%,1.595,133.0,-22.0,946.0,204.0,52.0,-15.0,1195.0,684.0,58.0,-8.0,1694.0,59.0,24.0,91.0,2.0,4434.0,39.141,63.0,85.0,-1.0,52.0,90.0,74.0,-1.0,43.0,79.0,84.0,11.0,227.0,378.0,66.0,-1.0,9.503,50.0,64.0,0.0,6.402,50.0,44.0,0.0,14.404,50.0,76.0,11.0,28.0,59.0,157.0,0.0,-21.36,50.0,85.0,0.0,8.962,30.323,-21.36,50.0,54.0,-3.0,524.0,830.0,115.0,2.0,34986.0,118.0,56.0,-6.0,167.0,306.0,141.0,-3.0,389.0,524.0,126.0,2.0,684.0,1062.0,57.0,-8.0,1694.0,1062.0,130.0,3.0,767.0,248.0,24.0,-7.0,2721.0,682.0,0.19,0.128,0.288,-0.427,0.179,60.05%,57.78%,54.43%,71.002,28.71
0.47,278.9,69.41%,63.70%,-0.29,47.81%,73.00%,Brendon Todd,30927,3.05,4.03,4.65,1.735,30.97%,1.577,147.0,-21.0,1088.0,234.0,33.0,-5.0,1492.0,860.0,22.0,-2.0,2129.0,75.0,20.0,95.0,3.0,5288.0,41.044,75.0,151.0,-1.0,90.0,169.0,31.0,0.0,47.0,78.0,78.0,-17.0,296.0,490.0,126.0,-1.0,-12.226,70.0,20.0,0.0,22.175,70.0,163.0,-1.0,-34.3,70.0,76.0,11.0,35.0,75.0,36.0,0.0,23.081,70.0,109.0,-1.0,-1.27,-24.352,23.081,70.0,7.0,-1.0,726.0,1046.0,177.0,-1.0,41840.0,150.0,165.0,-9.0,153.0,320.0,158.0,10.0,530.0,726.0,142.0,3.0,860.0,1350.0,21.0,-1.0,2129.0,1350.0,82.0,17.0,928.0,304.0,105.0,-16.0,3272.0,812.0,-0.175,0.317,-0.49,0.33,-0.018,60.41%,53.25%,60.26%,71.054,28.39
0.63,310.1,52.07%,62.40%,-0.28,51.75%,72.70%,Gary Woodland,31323,3.07,4.13,4.65,1.774,31.10%,1.635,147.0,-21.0,782.0,168.0,125.0,-6.0,1116.0,629.0,151.0,-4.0,1648.0,56.0,23.0,150.0,2.0,4005.0,3.486,56.0,166.0,-1.0,64.0,127.0,165.0,-1.0,20.0,49.0,178.0,-1.0,190.0,379.0,113.0,-1.0,-2.778,49.0,167.0,-1.0,-19.075,49.0,113.0,0.0,-3.1,49.0,19.0,0.0,35.0,56.0,130.0,-1.0,-8.746,49.0,157.0,-1.0,-33.685,-24.939,-8.746,49.0,170.0,0.0,403.0,774.0,13.0,-5.0,34733.0,112.0,105.0,0.0,192.0,371.0,165.0,-8.0,293.0,403.0,163.0,-5.0,629.0,1008.0,151.0,-2.0,1648.0,1008.0,112.0,1.0,718.0,234.0,175.0,-1.0,2505.0,606.0,-0.057,-0.389,-0.063,-0.178,-0.687,50.13%,50.39%,40.82%,71.58,29.43
0.35,291.1,63.17%,64.90%,-0.28,51.55%,74.71%,Emiliano Grillo,31646,3.05,4.06,4.66,1.756,29.51%,1.615,153.0,1.0,1025.0,220.0,77.0,-10.0,1415.0,806.0,112.0,-7.0,2006.0,69.0,23.0,118.0,5.0,4894.0,25.335,69.0,99.0,-1.0,61.0,107.0,93.0,-1.0,35.0,67.0,148.0,-1.0,246.0,436.0,58.0,-1.0,15.648,61.0,171.0,-1.0,-29.842,61.0,96.0,0.0,0.866,61.0,153.0,-1.0,24.0,69.0,81.0,0.0,5.04,61.0,122.0,-1.0,-8.276,-13.316,5.04,61.0,52.0,-3.0,609.0,964.0,153.0,2.0,40171.0,138.0,109.0,-14.0,183.0,355.0,129.0,11.0,455.0,609.0,119.0,0.0,806.0,1242.0,112.0,-7.0,2006.0,1242.0,82.0,-9.0,848.0,278.0,150.0,-9.0,3021.0,744.0,0.257,-0.489,0.014,0.083,-0.136,56.42%,57.01%,52.24%,71.295,29.07
